date,rain,maxtp,mintp,glorad,solargen
2023-04-01,2.99,11.81,5.82,1088.88,2127.56
2023-04-02,0.0,12.19,3.68,1329.0,2666.57
2023-04-03,0.54,11.25,5.64,731.12,2370.33
2023-04-04,4.15,12.04,7.1,835.75,3397.26
2023-04-05,2.44,13.5,7.4,820.0,2005.28
2023-04-06,0.6,12.72,3.49,1724.38,4367.59
2023-04-07,0.0,13.61,2.07,1681.5,4935.28
2023-04-08,0.0,13.51,6.25,1207.25,4538.97
2023-04-09,3.42,12.6,8.57,609.25,2040.88
2023-04-10,5.0,11.35,4.61,1415.25,3755.25
2023-04-11,11.32,9.21,2.7,579.62,1971.66
2023-04-12,8.14,8.91,1.98,919.0,3045.91
2023-04-13,0.52,11.75,2.19,1885.25,4834.65
2023-04-14,1.18,12.82,1.59,1875.38,5478.06
2023-04-15,3.35,11.63,1.16,1098.25,5006.32
2023-04-16,0.54,16.7,9.31,1125.38,3675.98
2023-04-17,0.06,15.84,8.85,1203.88,4254.34
2023-04-18,0.04,14.5,6.91,1893.12,6206.56
2023-04-19,0.09,13.02,5.55,1508.25,4900.98
2023-04-20,0.16,13.29,5.69,2384.0,8456.35
2023-04-21,0.46,14.64,4.64,1525.0,5009.88
2023-04-22,5.74,10.21,4.55,942.25,4316.03
2023-04-23,3.08,12.95,5.1,1396.88,5093.94
2023-04-24,2.64,10.2,2.09,1376.5,3573.18
2023-04-25,0.15,11.06,-0.29,1507.5,4723.81
2023-04-26,0.91,12.42,6.3,1253.38,6610.98
2023-04-27,2.47,13.46,8.46,797.12,3504.65
2023-04-28,1.05,16.06,9.71,1228.12,4470.68
2023-04-29,3.45,16.66,9.71,1228.12,5059.84
2023-04-30,3.18,16.06,10.58,1719.12,6419.72
2023-05-01,0.18,15.26,8.1,1627.62,6610.33
2023-05-02,0.0,16.31,7.49,1725.38,7547.87
2023-05-03,0.0,16.06,10.08,1478.25,6799.81
2023-05-04,5.6,13.65,9.69,1040.5,5510.96
2023-05-05,2.91,16.5,10.06,1422.62,6594.87
2023-05-06,3.37,16.88,9.9,1664.25,6361.07
2023-05-07,5.94,16.16,9.3,1212.38,6791.29
2023-05-08,3.11,17.15,10.55,1350.0,6268.32
2023-05-09,2.48,16.19,8.64,1835.5,7053.8
2023-05-10,4.01,14.2,9.39,1439.88,7106.28
2023-05-11,4.79,15.09,8.32,1508.0,6283.41
2023-05-12,0.04,17.88,7.28,2452.5,9668.17
2023-05-13,0.04,18.76,6.4,2366.62,9027.09
2023-05-14,1.93,14.7,6.45,1606.25,5536.83
2023-05-15,0.08,14.71,4.84,2116.62,7658.19
2023-05-16,0.0,16.46,4.45,2510.5,8648.02
2023-05-17,0.0,17.11,5.9,2281.12,9627.51
2023-05-18,0.45,16.23,7.99,1591.62,7466.08
2023-05-19,0.18,16.36,8.18,1467.25,6779.73
2023-05-20,2.92,17.34,11.24,1215.75,5572.96
2023-05-21,1.11,16.34,10.81,1230.12,6434.39
2023-05-22,0.25,15.95,7.88,2181.0,9342.08
2023-05-23,0.0,16.46,7.61,2151.88,9410.18
2023-05-24,0.0,16.44,7.72,1959.5,7979.71
2023-05-25,0.0,17.35,9.75,2189.0,9150.37
2023-05-26,0.01,18.8,8.46,2429.38,9412.99
2023-05-27,0.0,19.99,8.18,2408.88,8999.79
2023-05-28,0.0,16.76,8.26,2465.88,9396.28
2023-05-29,0.01,19.16,5.94,2762.38,10967.24
2023-05-30,0.0,20.71,7.22,3018.38,10811.76
2023-05-31,0.0,20.04,8.57,2835.38,9511.31
2023-06-01,0.0,19.99,8.24,2834.25,10027.96
2023-06-02,0.01,18.95,7.95,2781.38,9949.03
2023-06-03,0.01,20.95,6.65,2959.75,11434.88
2023-06-04,0.0,21.51,7.05,2977.25,11045.2
2023-06-05,0.0,21.8,7.95,2904.62,11216.99
2023-06-06,0.0,20.06,8.82,2849.12,9939.12
