date,ind,maxtp,ind,mintp,igmin,gmin,ind,rain,cbl,wdsp,ind,hm,ind,ddhm,ind,hg,soil,pe,evap,smd_wd,smd_md,smd_pd,glorad
1-Jan-24,0,10.6,0,2.8,0,-0.7,0,11.2,980.7,10.4,0,19,0,230,0,27,5.3,0.5,0.7,0,-10,-10,59
2-Jan-24,0,10.1,0,5.9,0,3.1,0,6.4,972.1,8.4,0,16,0,230,0,23,7.274,0.4,0.6,0,-6,-10,87
3-Jan-24,0,9.1,0,5,0,1,0,2.7,980.8,7.7,0,13,0,210,0,20,6.374,0.2,0.3,0,-2.5,-10,198
4-Jan-24,0,7.8,0,2.4,0,-0.5,0,0.2,990.6,6.5,0,14,0,220,0,20,5.324,0.1,0.1,0,-0.1,-9.6,349
5-Jan-24,0,7.9,0,0.8,0,-1.3,0,0,1000.2,5.8,0,11,0,290,0,17,4.51,0.2,0.2,0.2,0.2,-8.9,336
6-Jan-24,0,7,0,-1.9,0,-4.6,0,0,1012.6,3.6,0,7,0,230,0,9,2.751,0,0,0.2,0.2,-8.5,378
7-Jan-24,0,0,0,-3.6,0,-5.1,0,0,1021.1,1.6,0,6,0,210,0,7,1.941,0,0.1,0.2,0.2,-8,213
8-Jan-24,0,3,0,-4.5,0,-8.3,0,0,1024.5,4.3,0,10,0,100,0,15,1.447,0.1,0.2,0.4,0.4,-7.5,260
9-Jan-24,0,4.4,0,-0.4,0,-3.8,0,0,1024,7.2,0,11,0,50,0,16,1.754,0.5,0.6,0.8,0.8,-6.6,312
10-Jan-24,0,4.5,0,-1.4,0,-5.4,0,0,1026.3,5.2,0,11,0,70,0,14,1.041,0.1,0.2,1,1,-6.1,320
11-Jan-24,0,6.5,0,2.7,0,-5,0,0,1030.7,4.3,0,8,0,50,0,11,3.242,0.3,0.4,1.3,1.3,-5.6,181
12-Jan-24,0,4.9,0,0.7,0,2.4,0,0,1029.2,3.6,0,7,0,350,0,11,3.968,0.4,0.5,1.7,1.7,-4.9,71
13-Jan-24,0,5.2,0,0.4,0,-0.4,0,0.4,1018.8,2.2,0,6,0,210,0,7,3.776,0.1,0.2,1.4,1.4,-4.9,240
14-Jan-24,0,5.2,0,-0.5,0,-1.5,0,0,1010.1,3.6,0,8,0,340,0,11,3.873,0.1,0.2,1.5,1.5,-4.5,219
15-Jan-24,0,3.3,0,-4,0,-8.5,0,0,1006.8,3.4,0,6,0,180,0,7,1.638,0,0.1,1.5,1.5,-4.3,409
16-Jan-24,0,3.8,0,-2.3,0,-7.9,0,0,997,6.8,0,12,0,220,0,17,1.079,0.3,0.3,1.8,1.8,-3.8,460
17-Jan-24,0,1.5,0,-5,0,-3.7,0,0,990.2,2.7,0,7,0,30,0,10,1.586,0.1,0.2,1.9,1.9,-3.5,222
18-Jan-24,0,3.4,0,-5.9,0,-10.5,0,0,1001.8,3.8,0,6,0,190,0,9,0.804,0,0,1.9,1.9,-3.3,492
19-Jan-24,0,6.8,0,-2.9,0,-9.2,0,0,1006.8,10,0,19,0,180,0,27,0.455,0.5,0.6,2.4,2.4,-2.6,450
20-Jan-24,0,10.3,0,5.6,0,-4.4,0,5.5,996.9,15.4,0,22,0,180,0,33,4.498,0.8,1,0,-2.3,-7.2,147
21-Jan-24,0,14.1,0,5.7,0,1.1,0,11.4,981.2,20.3,0,36,0,220,0,53,6.55,0.7,1,0,-10,-10,69
22-Jan-24,0,7.9,0,4.4,0,3,0,4.3,994.8,15,0,26,0,290,0,42,5.302,0.8,1,0,-3.5,-10,266
23-Jan-24,0,13.8,0,4.8,0,2.3,0,10.9,999.8,18.9,0,31,0,230,0,46,7.064,0.6,0.9,0,-10,-10,105
24-Jan-24,0,10.1,0,5.5,0,5.1,0,0.3,1007.9,9.8,0,25,0,250,0,37,6.511,0.7,0.8,0.4,0.4,-9.1,311
25-Jan-24,0,14.6,0,6,0,-0.2,0,3.9,1004.4,14,0,26,0,250,0,36,8.192,0.7,0.9,0,-2.8,-10,236
26-Jan-24,0,8.7,0,2.1,0,-0.6,0,1.6,1010.4,11.2,0,24,0,250,0,45,5.727,0.6,0.8,0,-1,-10,421
27-Jan-24,0,11,0,6.9,0,0.7,0,0,1011.8,12.9,0,21,0,160,0,28,6.417,0.9,1.1,0.9,0.9,-8.6,194
28-Jan-24,0,13.5,0,5.8,0,6.8,0,1,1003,13.3,0,24,0,160,0,34,8.082,0.7,1,0.6,0.6,-8.5,178
29-Jan-24,0,5.8,0,-0.2,0,2.8,0,6.1,1013.4,4.8,0,10,0,350,0,16,5.752,0.3,0.5,0,-5.2,-10,254
30-Jan-24,0,8.1,0,-0.6,0,-5.8,0,0,1019.3,6.7,0,11,0,170,0,17,3.567,0.5,0.6,0.5,0.5,-9,536
31-Jan-24,0,10.9,0,2.2,0,0,0,2.9,1015.5,12.7,0,22,0,200,0,34,5.654,0.4,0.6,0,-2,-10,136
1-Feb-24,0,10.4,0,1.2,0,-2.2,0,0,1022.7,7.5,0,13,0,210,0,20,5.18,0.3,0.5,0.3,0.3,-9.2,463
2-Feb-24,0,12.2,0,9.2,0,2.1,0,1.5,1018.3,13.2,0,18,0,220,0,27,8.667,0.5,0.7,0,-0.7,-9.8,235
3-Feb-24,0,11.1,0,7.5,0,8.9,0,1.8,1017.2,7.1,0,12,0,210,0,17,9.14,0.3,0.5,0,-1.5,-10,259
4-Feb-24,0,12.9,0,8.2,0,6.3,0,0.9,1014.1,14.3,0,20,0,230,0,29,8.894,0.7,1,0,-0.2,-9.7,276
5-Feb-24,0,11.6,0,9,0,8.1,0,0.3,1005.8,14.1,0,19,0,230,0,28,8.773,0.9,1.2,0.6,0.6,-8.6,242
6-Feb-24,0,11.2,0,2.8,0,7.3,0,19.3,996.9,8.2,0,21,0,230,0,31,8.446,0.4,0.6,0,-10,-10,159
7-Feb-24,0,5.5,0,0.1,0,-3.1,0,0,994.1,3.4,0,11,0,70,0,17,5.597,0.3,0.4,0.3,0.3,-9.2,462
8-Feb-24,0,6.8,0,2.4,0,-0.1,0,19.2,976.3,7.9,0,16,0,60,0,24,5.295,0.4,0.6,0,-10,-10,144
9-Feb-24,0,7.6,0,3.8,0,2.9,0,16.4,964.2,5.7,0,10,0,50,0,13,6.644,0.3,0.5,0,-10,-10,206
10-Feb-24,0,8.2,0,2.1,0,-1,0,7,972.2,5.2,0,9,0,60,0,12,5.497,0.4,0.5,0,-6.6,-10,226
11-Feb-24,0,8.9,0,1.8,0,-0.8,0,2,983.7,7.4,0,15,0,260,0,24,5.832,0.5,0.8,0,-1.5,-10,697
12-Feb-24,0,8.4,0,0.4,0,-1.9,0,1.2,993.1,9.3,0,16,0,230,0,27,4.38,0.6,0.8,0,-0.6,-10,633
13-Feb-24,0,10.4,0,3.2,0,0.9,0,4.3,995.6,5.9,0,10,0,170,0,13,5.839,0.4,0.6,0,-3.9,-10,252
14-Feb-24,0,13.4,0,10.3,0,4.8,0,3.6,994.2,9.5,0,15,0,160,0,20,9.005,0.7,0.9,0,-2.9,-10,309
15-Feb-24,0,12.8,0,7,0,10.1,0,4.6,993.4,6.2,0,14,0,180,0,20,9.775,0.5,0.8,0,-4.1,-10,456
16-Feb-24,0,13.2,0,8.7,0,2.3,0,1,1003.8,8.3,0,14,0,220,0,20,9.47,0.7,1,0,-0.3,-9.8,495
17-Feb-24,0,13.8,0,6.7,0,1,0,4,1009.7,8.2,0,21,0,130,0,29,9.642,0.4,0.6,0,-3.6,-10,230
18-Feb-24,0,12.9,0,8.6,0,7.2,0,0.8,1016.5,7.2,0,14,0,220,0,20,9.965,0.7,1,0,-0.1,-9.6,488
19-Feb-24,0,11.8,0,6.9,0,5.1,0,0.5,1018.9,8.1,0,15,0,210,0,20,8.734,0.8,1.1,0.3,0.3,-8.9,582
20-Feb-24,0,12.1,0,5.5,0,1.4,0,1.6,1008.5,9.4,0,16,0,220,0,24,8.522,0.6,0.8,0,-0.8,-9.4,371
21-Feb-24,0,12.1,0,6.7,0,1.8,0,5,989.1,13.6,0,21,0,240,0,32,8.784,0.6,1,0,-4.4,-10,515
22-Feb-24,0,7.5,0,2.8,0,0.8,0,7.4,975.4,8.8,0,18,0,240,0,31,6.482,0.6,0.9,0,-6.8,-10,602
23-Feb-24,0,7,0,1.7,0,-0.2,0,5,975.8,9,0,15,0,260,0,20,5.167,0.7,1,0,-4.3,-10,722
24-Feb-24,0,10.5,0,1.9,0,-1,0,0.8,982.4,6.4,0,13,0,290,0,20,5.788,0.9,1.2,0.1,0.1,-9.4,855
25-Feb-24,0,8.1,0,3.2,0,-0.9,0,0,991,9.6,0,14,0,10,0,23,5.889,0.8,1.1,0.9,0.9,-8.2,376
26-Feb-24,0,9.3,0,1,0,-1.7,0,0,1008.4,7.3,0,12,0,350,0,19,4.795,1,1.4,1.8,1.8,-6.8,969
27-Feb-24,0,11.1,0,3.5,0,-3,0,0.9,1009.8,9.1,0,15,0,200,0,21,6.377,0.8,1.1,1.7,1.7,-6.6,628
28-Feb-24,0,12,0,4.7,0,0.8,0,12.3,1001.9,10.5,0,18,0,210,0,28,7.7,0.6,0.9,0,-10,-10,299
29-Feb-24,0,7.1,0,2,0,1.6,0,2.9,987.1,9.9,0,17,0,240,0,28,5.981,0.7,1.1,0,-2.2,-10,710
1-Mar-24,0,4.7,0,0.2,0,0,0,9.6,980.9,10.8,0,18,0,330,0,29,3.678,0.6,0.9,0,-9,-10,297
2-Mar-24,0,6.7,0,1.1,0,-1.3,0,2.6,987.1,10.5,0,19,0,300,0,32,3.426,0.8,1.2,0,-1.8,-10,649
3-Mar-24,0,10.6,0,1.4,0,-0.8,0,0.4,991.4,6,0,11,0,260,0,20,5.12,1,1.4,0.6,0.6,-8.9,830
4-Mar-24,0,8.1,0,2.6,0,-3.9,0,3.1,987.4,13.9,0,24,0,120,0,35,5.157,0.7,1.1,0,-1.9,-10,395
5-Mar-24,0,12,0,4.3,0,3.4,0,9.5,995.3,13.1,0,25,0,190,0,36,6.729,1.5,2.1,0,-8,-10,982
6-Mar-24,0,11.1,0,4.5,0,2.2,0,0.2,1005.3,13.3,0,18,0,130,0,26,7.245,0.8,1.3,0.6,0.6,-8.9,504
7-Mar-24,0,10.9,0,6.1,0,6.6,0,0.6,1005.2,11.8,0,18,0,110,0,24,8.019,1.2,1.8,1.2,1.2,-7.8,858
8-Mar-24,0,8.7,0,3.8,0,3.5,0,0,996.2,11.3,0,17,0,90,0,24,6.311,1.2,1.7,2.4,2.4,-6.2,700
9-Mar-24,0,7.2,0,3.8,0,1.6,0,0,987.9,11.3,0,19,0,50,0,29,5.48,0.7,1,3.1,3.1,-5.2,203
10-Mar-24,0,8,0,5.8,0,5.7,0,0.3,991,7.3,0,11,0,40,0,16,6.527,0.6,0.9,3.5,3.5,-4.6,190
11-Mar-24,0,10.3,0,6.5,0,5.7,0,10.2,996.1,6,0,21,0,120,0,28,7.788,0.8,1.2,0,-5.9,-10,511
12-Mar-24,0,13.5,0,8.7,0,6,0,1.1,992.8,11.8,0,20,0,180,0,29,9.252,0.9,1.4,0,-0.2,-9.7,554
13-Mar-24,0,12.8,0,6.5,0,8.4,0,16,992.4,7.8,0,20,0,190,0,30,9.89,0.7,1,0,-10,-10,415
