date,ind,maxtp,ind,mintp,igmin,gmin,ind,rain,cbl,wdsp,ind,hm,ind,ddhm,ind,hg,soil,pe,evap,smd_wd,smd_md,smd_pd,glorad
1-Jan-24,0,11.9,0,8.9,0,5.4,0,11.1,989.9,18.4,0,31,0,220,0,41,8.446,1,1.3,0,-10,-10,37
2-Jan-24,0,11.7,0,8.8,0,8.6,0,8.9,981.3,17.4,0,27,0,250,0,35,9.605,0.4,0.5,0,-8.5,-10,316
3-Jan-24,0,10.8,0,8.6,0,7.4,0,1.5,989.9,19.4,0,29,0,270,0,39,8.823,1,1.2,0,-0.5,-10,319
4-Jan-24,0,9.7,0,4.3,0,-0.1,0,0,999.4,7.7,0,17,0,250,0,22,7.435,0.3,0.4,0.3,0.3,-9.2,370
5-Jan-24,0,9.6,0,5.6,0,-0.7,0,0.2,1008.7,6.5,0,17,0,320,0,28,6.741,0.4,0.4,0.5,0.5,-8.6,425
6-Jan-24,0,9.6,0,2.6,0,-3.2,0,0.1,1020.2,3.5,0,7,0,310,0,9,5.53,0.1,0.2,0.4,0.4,-8.2,457
7-Jan-24,0,8.2,0,2.1,0,-0.9,0,0.3,1026.6,6.9,0,15,0,100,0,19,4.728,0.2,0.2,0.3,0.3,-7.9,469
8-Jan-24,0,7.4,0,3.4,0,0.3,0,0.4,1027.8,15.8,0,22,0,90,0,30,5.232,1.2,1.6,1.2,1.2,-6.6,148
9-Jan-24,0,4.8,0,0.7,0,0,0,4.8,1027.2,14.8,0,20,0,30,0,26,4.309,0.8,1.2,0,-2.8,-10,79
10-Jan-24,0,5.5,0,1.5,0,0,0,0,1030.1,12.4,0,18,0,40,0,22,3.605,0.6,0.8,0.6,0.6,-8.9,396
11-Jan-24,0,7.4,0,3.2,0,-1.7,0,0,1035.7,11.2,0,16,0,50,0,21,4.465,0.6,0.7,1.2,1.2,-7.8,395
12-Jan-24,0,5.8,0,2.7,0,1.1,0,0,1034.3,11.1,0,16,0,40,0,19,4.839,0.6,0.8,1.8,1.8,-6.8,96
13-Jan-24,0,5.1,0,1.8,0,1.7,0,0,1024.3,13.2,0,19,0,20,0,23,4.754,0.7,0.9,2.5,2.5,-5.8,81
14-Jan-24,0,6.7,0,2.3,0,2.1,0,0,1016.3,8.4,0,14,0,40,0,19,5.205,0.5,0.6,2.9,2.9,-5.1,332
15-Jan-24,0,4.7,0,-0.6,0,-4.8,0,0,1013.9,6.7,0,13,0,20,0,16,3.703,0.3,0.4,3.2,3.2,-4.5,538
16-Jan-24,0,5.1,0,-1.2,0,-3.9,0,0,1003.7,7.3,0,10,0,60,0,12,2.884,0.5,0.6,3.7,3.7,-3.8,277
17-Jan-24,0,4.8,0,0.6,0,-1.5,0,0,995.5,11.5,0,18,0,20,0,22,2.724,0.7,0.9,4.4,4.4,-2.9,536
18-Jan-24,0,5.8,0,-0.7,0,-8.8,0,0,1009.2,4,0,10,0,350,0,14,2.138,0.3,0.5,4.7,4.7,-2.5,572
19-Jan-24,0,9.4,0,-1.9,0,-5.8,0,0.2,1015.3,18.1,0,31,0,190,0,39,2.827,0.8,1.1,5.2,5.2,-1.7,419
20-Jan-24,0,10.9,0,8.8,0,3.2,0,9.6,1005.6,27.6,0,37,0,190,0,47,6.754,0.9,1.4,0,-3.5,-10,65
21-Jan-24,0,12.9,0,9.1,0,7.7,0,12,992.8,29.9,0,42,0,210,0,57,8.213,1,1.6,0,-10,-10,49
22-Jan-24,0,10,0,7.3,0,5.7,0,2.8,1006,22.8,0,34,0,260,0,51,7.523,1.1,1.6,0,-1.7,-10,420
23-Jan-24,0,12.8,0,9.4,0,6.1,0,8,1010.5,26.6,0,39,0,240,0,51,8.871,1,1.5,0,-7,-10,98
24-Jan-24,0,11.1,0,9.5,0,7.6,0,2.6,1018.9,13.7,0,29,0,250,0,39,8.592,0.8,1.1,0,-1.8,-10,224
25-Jan-24,0,12,0,8.6,0,8.5,0,6.6,1013.1,20.7,0,34,0,260,0,44,9.698,0.8,1.1,0,-5.8,-10,109
26-Jan-24,0,10.1,0,5.6,0,4.1,0,0.4,1021.1,17.8,0,31,0,270,0,42,7.963,1.1,1.5,0.7,0.7,-8.8,479
27-Jan-24,0,10.9,0,9.4,0,6.7,0,0.8,1019.7,16,0,21,0,160,0,28,8.49,1,1.3,0.9,0.9,-8.1,218
28-Jan-24,0,12,0,6.3,0,9.4,0,5.4,1010.8,16.5,0,26,0,170,0,35,9.333,0.6,0.9,0,-3.9,-10,105
29-Jan-24,0,7.7,0,3.2,0,3.7,0,4.9,1020.5,10.6,0,19,0,10,0,26,7.386,0.7,0.9,0,-4.2,-10,451
30-Jan-24,0,9.4,0,0.4,0,-4.3,0,0,1027.7,8.3,0,20,0,200,0,25,5.618,0.6,0.8,0.6,0.6,-8.9,458
31-Jan-24,0,11.3,0,7.5,0,0,0,0.3,1025.3,17.2,0,26,0,240,0,34,7.88,0.8,1.1,1.1,1.1,-8,176
1-Feb-24,0,10.9,0,4.5,0,0.8,0,0.5,1031.4,6.6,0,16,0,240,0,20,8.006,0.3,0.5,0.9,0.9,-7.8,403
2-Feb-24,0,11.2,0,10.1,0,4.8,0,1.1,1028.4,15.6,0,20,0,240,0,26,9.55,0.3,0.5,0.1,0.1,-8.2,241
3-Feb-24,0,11,0,10.5,0,10.2,0,1.9,1026.3,16.1,0,21,0,240,0,25,10.005,0.3,0.5,0,-1.5,-9.4,153
4-Feb-24,0,11.9,0,9.9,0,10.2,0,0.8,1024.2,17.1,0,22,0,240,0,27,10.185,0.6,0.9,0,-0.2,-9.1,348
5-Feb-24,0,12,0,9.6,0,8.9,0,1.4,1016.5,17.4,0,24,0,230,0,30,9.858,0.7,1,0,-0.7,-9.4,335
6-Feb-24,0,12.1,0,6.3,0,9.4,0,10.8,1005.7,18.3,0,31,0,220,0,43,10.222,0.5,0.8,0,-10,-10,108
7-Feb-24,0,8.1,0,4.8,0,3.8,0,5.2,997.5,12.6,0,26,0,90,0,34,8.435,0.6,0.8,0,-4.6,-10,314
8-Feb-24,0,11.2,0,7.3,0,4.8,0,22,979.1,11.5,0,26,0,80,0,35,9.318,0.4,0.6,0,-10,-10,260
9-Feb-24,0,10.8,0,8.1,0,6.6,0,2,968.8,12.9,0,24,0,160,0,31,9.422,0.6,1,0,-1.4,-10,764
10-Feb-24,0,10.3,0,7.4,0,5.5,0,0.7,977.1,12.3,0,20,0,160,0,26,8.64,0.8,1.1,0.1,0.1,-9.4,538
11-Feb-24,0,9.7,0,4.8,0,5,0,0.4,992.9,12.5,0,19,0,270,0,28,7.728,1,1.3,0.7,0.7,-8.3,763
12-Feb-24,0,10.3,0,4.8,0,-1.2,0,1.9,1001.9,13.5,0,23,0,240,0,31,7,1,1.4,0,-0.2,-8.8,734
13-Feb-24,0,11.7,0,7.8,0,5.8,0,6.9,1002.6,12,0,19,0,200,0,24,8.574,0.6,0.9,0,-6.3,-10,291
14-Feb-24,0,11.9,0,10.8,0,9,0,6.6,1001.5,16.7,0,21,0,190,0,28,10.092,0.4,0.7,0,-6.2,-10,214
15-Feb-24,0,11.4,0,9.8,0,8.4,0,8.2,1001.2,10.9,0,18,0,240,0,23,10.435,0.5,0.8,0,-7.7,-10,728
16-Feb-24,0,11.5,0,9.8,0,7.9,0,1.8,1012.2,11.4,0,19,0,240,0,26,10.007,0.7,1,0,-1.1,-10,379
17-Feb-24,0,12.2,0,10.1,0,8.3,0,13.3,1018.2,13.6,0,23,0,180,0,28,10.517,0.3,0.6,0,-10,-10,168
18-Feb-24,0,12.8,0,10.2,0,9.5,0,0.4,1025,12,0,21,0,220,0,26,10.91,0.7,1.1,0.3,0.3,-9.2,714
19-Feb-24,0,11.5,0,9.9,0,8.3,0,0.4,1028.5,12.1,0,21,0,240,0,26,10.635,0.6,1.1,0.5,0.5,-8.5,926
20-Feb-24,0,11.3,0,8.8,0,9.6,0,5.1,1016.4,11.7,0,21,0,210,0,28,10.497,0.5,0.8,0,-4.1,-10,427
21-Feb-24,0,12,0,8.4,0,6.4,0,9.2,996.6,21.4,0,32,0,190,0,38,10.568,0.6,1.1,0,-8.6,-10,602
22-Feb-24,0,10.4,0,4.8,0,3.7,0,8.4,984.1,18.8,0,29,0,280,0,44,8.672,1,1.6,0,-7.4,-10,663
23-Feb-24,0,8,0,4.3,0,3,0,4.7,986.1,18.6,0,33,0,260,0,44,7.189,1.1,1.7,0,-3.6,-10,480
24-Feb-24,0,10.1,0,6.3,0,3.8,0,1.4,991.7,11.9,0,23,0,270,0,35,7.483,1.1,1.6,0,-0.3,-9.8,650
25-Feb-24,0,9.7,0,6.6,0,5.8,0,6.1,993.6,19.4,0,30,0,10,0,42,8.164,0.8,1.3,0,-5.3,-10,352
26-Feb-24,0,9.8,0,4.8,0,2.9,0,0,1015.6,13.4,0,27,0,0,0,33,7.113,1.6,2.3,1.6,1.6,-7.9,1163
27-Feb-24,0,11.5,0,6.5,0,-1.8,0,1.4,1019.4,12.4,0,21,0,240,0,26,8.086,0.9,1.3,1.1,1.1,-8,720
