date,ind,maxtp,ind,mintp,igmin,gmin,ind,rain,cbl,wdsp,ind,hm,ind,ddhm,ind,hg,soil,pe,evap,smd_wd,smd_md,smd_pd,glorad
1-Apr-23,0,12.1,0,3.5,0,3.4,0,0.8,1006.1,9.2,0,17,0,310,0,27,10.515,1.5,2.3,0.7,0.7,-8.8,1234
2-Apr-23,0,13.5,0,2.6,0,-2.7,0,0,1019,5.3,0,12,0,150,0,20,9.898,1.7,2.4,2.4,2.4,-6.6,1324
3-Apr-23,0,12.1,0,5.2,0,2.1,0,1,1015.8,10.2,0,17,0,160,0,26,9.483,1.4,2.1,2.8,2.8,-5.9,885
4-Apr-23,0,12.4,0,7.1,0,5.7,0,6.5,1010.5,11.1,0,16,0,170,0,24,9.628,1.1,1.6,0,-2.7,-10,618
5-Apr-23,0,13.4,0,6.8,0,9.6,0,2,1005.5,7.6,0,14,0,290,0,21,10.85,1.3,1.8,0,-0.7,-10,765
6-Apr-23,0,13.3,0,2.2,0,-1.5,0,0.8,1008.5,5.1,0,11,0,280,0,18,10.523,1.9,2.7,1.1,1.1,-8.4,1689
7-Apr-23,0,14.6,0,0.8,0,-3.8,0,0,1009.9,8.2,0,15,0,160,0,24,9.688,2.1,3.1,3.1,3.1,-5.9,1652
8-Apr-23,0,13.6,0,5.9,0,3,0,0,1008.8,9.6,0,16,0,160,0,24,9.62,1.7,2.4,4.8,4.8,-3.9,891
9-Apr-23,0,12.8,0,8.5,0,7.6,0,4.9,1000.5,10,0,17,0,170,0,28,9.932,1.2,1.7,1.1,1.1,-7.4,476
10-Apr-23,0,11.2,0,3.3,0,-0.4,0,8.1,996.5,9.8,0,23,0,280,0,38,9.69,1.4,2.2,0,-5.7,-10,1228
11-Apr-23,0,7.4,0,1.9,0,-2.1,0,15.5,989.2,8.8,0,23,0,270,0,41,7.625,0.7,1.1,0,-10,-10,447
12-Apr-23,0,9,0,0.6,0,-0.3,0,13.8,981.3,12.9,0,31,0,320,0,47,7.342,1.1,1.8,0,-10,-10,783
13-Apr-23,0,12.3,0,1.1,0,-2.4,0,0,992.2,7.8,0,16,0,300,0,24,8.715,2.2,3.3,2.2,2.2,-7.3,1912
14-Apr-23,0,13.4,0,-1.7,0,-5.5,0,0.4,998.9,6,0,17,0,290,0,24,8.944,2,2.9,3.8,3.8,-5.3,1718
15-Apr-23,0,11.3,0,-0.6,0,-5,0,5.2,1008.2,6.8,0,15,0,180,0,25,8.474,1,1.5,0,-0.5,-9.3,864
16-Apr-23,0,19.8,0,9.6,0,8,0,0.9,1012,6,0,11,0,200,0,16,11.568,2.1,2.8,1.2,1.2,-7.6,1252
17-Apr-23,0,17.9,0,10.9,0,6.6,0,0,1016.7,7.1,0,13,0,160,0,20,12.695,2.2,3.1,3.4,3.4,-5,1319
18-Apr-23,0,17.3,0,6.3,0,1.8,0,0,1019.6,8.9,0,14,0,90,0,21,11.842,2.3,3.3,5.7,5.7,-2.4,1505
19-Apr-23,0,12.5,0,4.9,0,1.6,0,0,1018.5,9.8,0,14,0,90,0,21,10.075,1.8,2.5,7.3,7.3,-0.5,1047
