date,ind,maxtp,ind,mintp,igmin,gmin,ind,rain,cbl,wdsp,ind,hm,ind,ddhm,ind,hg,soil,pe,evap,smd_wd,smd_md,smd_pd,glorad
1-Apr-23,0,11.4,0,7.1,0,8.1,0,10.4,1002.8,7.5,0,17,0,300,0,27,10.497,1.1,1.7,0,-9.3,-10,826
2-Apr-23,0,12.2,0,4.4,0,0.2,0,0,1016.4,5.2,0,10,0,90,0,14,10.335,1.5,2.2,1.5,1.5,-8,1347
3-Apr-23,0,11.8,0,3.2,0,0.5,0,0,1016.7,6.9,0,12,0,190,0,18,9.352,1.4,1.9,2.9,2.9,-6.2,921
4-Apr-23,0,12.7,0,5.5,0,3.7,0,1.6,1011.5,9.3,0,15,0,180,0,23,9.548,1.7,2.6,3,3,-5.8,1337
5-Apr-23,0,13.5,0,7.4,0,8.2,0,0.7,1005.2,8.3,0,13,0,180,0,20,10.515,1.1,1.5,3.3,3.3,-5.1,617
6-Apr-23,0,12.4,0,2.7,0,4.8,0,1.2,1006.7,5.3,0,13,0,260,0,19,10.533,1.8,2.6,3.8,3.8,-4.3,1578
7-Apr-23,0,14.6,0,-0.1,0,-3.9,0,0,1010.2,5.4,0,11,0,150,0,16,9.941,2,2.8,5.7,5.7,-2.1,1715
8-Apr-23,0,14.3,0,4.6,0,2.3,0,0,1010.6,7.7,0,13,0,170,0,21,10.235,2,2.8,7.6,7.6,0,1427
9-Apr-23,0,12.2,0,7.9,0,6.5,0,1.7,1001.7,11.3,0,18,0,160,0,28,10.062,1.5,2.1,7.3,7.3,-0.2,694
10-Apr-23,0,10.7,0,3.8,0,4.6,0,5.1,995.1,10.7,0,24,0,240,0,33,9.745,1.3,2.1,3.5,3.5,-4,1048
11-Apr-23,0,9.5,0,2.4,0,1.4,0,9.8,987.6,10.9,0,23,0,240,0,33,8.232,0.9,1.4,0,-5.5,-10,611
12-Apr-23,0,7.5,0,1.5,0,0.2,0,5.4,978.2,12.4,0,22,0,290,0,36,7.3,1.1,1.8,0,-4.3,-10,815
13-Apr-23,0,12.1,0,2.2,0,1.4,0,0.1,988.8,10.2,0,18,0,250,0,25,7.747,2.5,3.7,2.4,2.4,-7.1,1887
14-Apr-23,0,12.7,0,-1,0,-5.2,0,0,996.8,4.7,0,14,0,290,0,21,8.332,2.1,3,4.4,4.4,-4.7,1946
15-Apr-23,0,12.7,0,0.1,0,-4.7,0,6.1,1007.3,5.1,0,11,0,190,0,17,8.97,1.7,2.5,0,0,-8.8,1529
16-Apr-23,0,18.7,0,8.9,0,6.9,0,0.6,1011.8,6.3,0,10,0,190,0,16,11.14,1.9,2.6,1.3,1.3,-7.1,1089
17-Apr-23,0,18.1,0,8.8,0,9.7,0,0,1016.5,5,0,11,0,100,0,15,12.67,2,2.7,3.3,3.3,-4.7,1307
18-Apr-23,0,12,0,7.8,0,8,0,0,1019.5,9.2,0,16,0,50,0,22,12.837,2.2,3.5,5.4,5.4,-2.3,2114
19-Apr-23,0,12.4,0,6.3,0,3.2,0,0,1017.3,12.9,0,19,0,70,0,28,11.325,2.2,3.4,7.4,7.4,0,1618
20-Apr-23,0,12.4,0,5.8,0,4.6,0,0,1013.8,12.4,0,18,0,70,0,25,10.948,2.8,4.4,10,10,2.7,2317
21-Apr-23,0,14.9,0,5,0,1.6,0,0.3,1005.5,10.9,0,21,0,60,0,34,10.812,2.5,3.8,12,12,4.9,1830
22-Apr-23,0,8.8,0,5.9,0,6.8,0,8.9,995.6,4.3,0,9,0,30,0,13,10.622,0.8,1.1,3.8,3.8,-3.2,514
23-Apr-23,0,12.4,0,4.7,0,2.7,0,1.8,994.8,3.8,0,11,0,310,0,17,10.932,1.9,2.6,3.8,3.8,-2.9,1522
24-Apr-23,0,8.4,0,1.2,0,3.6,0,3,1003.1,4.4,0,12,0,30,0,17,10.6,1.2,1.7,2,2,-4.6,986
25-Apr-23,0,10.2,0,-1.2,0,-4.6,0,0,1008.1,4.5,0,11,0,110,0,14,9.451,1.5,2.2,3.5,3.5,-2.8,1252
26-Apr-23,0,13,0,5.3,0,4.4,0,0,1006.1,6.7,0,13,0,90,0,18,10.548,2.5,3.5,5.9,5.9,-0.2,1750
27-Apr-23,0,13.3,0,7.9,0,7.6,0,0.4,1000.7,6.5,0,11,0,110,0,15,10.943,1.4,1.9,6.9,6.9,0.9,705
28-Apr-23,0,16.7,0,8.4,0,8.4,0,1.2,1002,3.9,0,10,0,230,0,14,12.22,1.7,2.3,7.3,7.3,1.4,1069
29-Apr-23,0,18.8,0,6.9,0,3.6,0,6,1007.9,3.3,0,9,0,100,0,13,13.24,2,2.7,3.2,3.2,-2.6,1317
30-Apr-23,0,16.9,0,10.4,0,9,0,6.6,1006.6,7.3,0,14,0,230,0,22,14.028,2.4,3.4,0,-1.1,-6.7,1644
1-May-23,0,17.1,0,8.3,0,8.6,0,0.2,1009.9,5.6,0,10,0,270,0,16,14.413,2.5,3.5,2.3,2.3,-4,1812
2-May-23,0,17.3,0,8.4,0,4.3,0,0,1013.5,6.3,0,11,0,190,0,16,14.625,2.6,3.7,4.9,4.9,-1.2,1947
3-May-23,0,15.8,0,9.7,0,9.2,0,0,1010.7,8.7,0,15,0,100,0,21,14.39,2.4,3.5,7.2,7.2,1.3,1647
4-May-23,0,13.5,0,8.6,0,7.6,0,1.3,1000.8,11.4,0,17,0,80,0,27,13.46,2,3.2,7.7,7.7,1.9,1574
5-May-23,0,18,0,10.4,0,9.8,0,2.2,996.4,7.4,0,13,0,190,0,19,13.965,2.4,3.3,7.7,7.7,2.1,1444
6-May-23,0,17.4,0,8.7,0,6.7,0,0,1001.1,3.9,0,8,0,130,0,11,14.79,2.4,3.3,9.9,9.9,4.5,1665
7-May-23,0,18,0,8.6,0,5.8,0,3.9,1003.6,7.6,0,13,0,160,0,22,15.265,2.5,3.7,8.3,8.3,3.1,1824
8-May-23,0,18.6,0,8.9,0,12.1,0,4.5,1001.6,8.4,0,14,0,230,0,21,15.653,2.3,3.4,6,6,0.9,1583
9-May-23,0,17.4,0,7.9,0,5.6,0,0.2,1000.6,6.5,0,14,0,260,0,22,15.003,2.8,3.8,8.4,8.4,3.5,1790
10-May-23,0,14.7,0,9.2,0,8.3,0,2.7,1001.3,10.5,0,17,0,250,0,26,14.335,1.9,3,7.4,7.4,2.7,1403
11-May-23,0,14.8,0,6.9,0,7.1,0,3.8,1008.6,6.4,0,13,0,260,0,18,14.052,1.9,2.8,5.4,5.4,0.8,1466
12-May-23,0,17.6,0,5,0,2,0,0,1017.1,4.3,0,9,0,90,0,14,14.46,2.9,4.1,8.2,8.2,3.8,2281
13-May-23,0,18.8,0,4.2,0,2.4,0,0,1016.3,4,0,9,0,110,0,12,15.505,2.9,4.1,10.9,10.9,6.7,2235
14-May-23,0,14.9,0,4.5,0,6.8,0,1.5,1011.6,5.9,0,12,0,320,0,17,14.835,1.8,2.6,11.1,11.1,7,1253
15-May-23,0,15,0,2.7,0,-0.7,0,0,1015.5,5.5,0,10,0,310,0,15,13.623,2.9,4.2,13.7,13.7,10,2419
16-May-23,0,17,0,2.9,0,-0.6,0,0,1018.3,4.1,0,9,0,310,0,16,14.18,3,4.2,16.4,16.4,13,2333
17-May-23,0,19.1,0,4.9,0,2,0,0,1018.6,4.5,0,11,0,250,0,16,14.77,3.1,4.3,19.1,19.1,16.1,2184
18-May-23,0,17,0,8.6,0,7.7,0,1,1017.9,5.9,0,11,0,230,0,17,15.007,2.5,3.5,20.1,20.1,17.4,1685
19-May-23,0,16.4,0,7.8,0,5.6,0,0.7,1019.9,3.8,0,8,0,310,0,15,14.825,2.1,2.8,21.1,21.1,18.6,1359
20-May-23,0,15.8,0,10.9,0,10.2,0,0,1017.9,2.4,0,5,0,110,0,7,15.238,1.8,2.3,22.5,22.5,20.2,995
21-May-23,0,16.1,0,11.5,0,10.6,0,3.1,1014.8,3.4,0,8,0,50,0,11,15.453,1.6,2.1,20.7,20.7,18.5,898
22-May-23,0,15.9,0,8.1,0,8.6,0,0,1017.6,6.3,0,11,0,310,0,17,15.575,3,4.3,23.1,23.1,21.2,2276
