date,ind,maxtp,ind,mintp,igmin,gmin,ind,rain,cbl,wdsp,ind,hm,ind,ddhm,ind,hg,soil,pe,evap,smd_wd,smd_md,smd_pd,glorad
1-Apr-23,0,10.3,0,6.1,0,8.1,0,1.4,1009.5,12.6,0,21,0,310,0,28, ,1,1.6,0,-0.4,-9.9,743
2-Apr-23,0,12.5,0,4.1,0,0.1,0,0,1022.9,4.6,0,12,0,120,0,16, ,1.5,2,1.5,1.5,-8,1026
3-Apr-23,0,11.9,0,5.5,0,4,0,2.8,1020.3,10.4,0,17,0,170,0,28, ,1.5,2.2,0.2,0.2,-8.8,764
4-Apr-23,0,11.9,0,7.8,0,6.7,0,6.4,1014.3,9.1,0,18,0,180,0,29, ,1.1,1.5,0,-5.1,-10,379
5-Apr-23,0,12.1,0,6.6,0,9.5,0,2.5,1008.8,9.1,0,16,0,270,0,21, ,1,1.6,0,-1.5,-10,758
6-Apr-23,0,11.3,0,2.9,0,3.9,0,0.3,1012.5,8.8,0,15,0,280,0,19, ,1.9,3,1.6,1.6,-7.9,2014
7-Apr-23,0,15.4,0,2.5,0,1.3,0,0,1014.5,8.7,0,15,0,170,0,22, ,2.4,3.4,3.9,3.9,-5.2,1693
8-Apr-23,0,13.9,0,5.3,0,3.8,0,0,1014,9.5,0,14,0,160,0,23, ,1.9,2.6,5.8,5.8,-3,967
9-Apr-23,0,12.6,0,8.6,0,8.2,0,2.8,1004.9,12.4,0,20,0,140,0,31, ,1.5,2,4.4,4.4,-4.1,444
10-Apr-23,0,11.4,0,4.7,0,5.1,0,3.9,999.3,15,0,31,0,270,0,43, ,1.8,3,2.2,2.2,-6.1,1474
11-Apr-23,0,7.2,0,2.4,0,1.3,0,10.3,991.7,12.3,0,29,0,270,0,38, ,0.8,1.2,0,-7.3,-10,410
12-Apr-23,0,8.8,0,2.1,0,0.7,0,9,983.7,19.6,0,36,0,330,0,48, ,1.3,2.1,0,-7.7,-10,571
13-Apr-23,0,11,0,3.4,0,3.9,0,0.5,993.8,16.6,0,25,0,290,0,39, ,2.3,4,1.8,1.8,-7.7,2040
14-Apr-23,0,11.5,0,1.2,0,-2.1,0,2.6,1002.7,8.5,0,19,0,280,0,27, ,1.9,3,1.1,1.1,-8,1955
15-Apr-23,0,11.6,0,1.8,0,-1,0,5.4,1012.2,8.4,0,16,0,120,0,30, ,1.3,2,0,-3,-10,1068
16-Apr-23,0,19.2,0,9.8,0,7.5,0,0.8,1015.8,6.5,0,12,0,180,0,19, ,2.3,3.2,1.5,1.5,-8,1510
17-Apr-23,0,17.9,0,9.5,0,10,0,0.1,1021.4,6.9,0,10,0,170,0,16, ,2.2,3.1,3.6,3.6,-5.5,1479
18-Apr-23,0,17.1,0,7.1,0,8.1,0,0,1025.2,9.3,0,16,0,100,0,23, ,2.8,4,6.2,6.2,-2.5,1860
19-Apr-23,0,13.5,0,6.2,0,3.3,0,0,1024.1,11,0,17,0,80,0,25, ,2.4,3.6,8.5,8.5,0.1,1734
20-Apr-23,0,14.7,0,4.5,0,2.3,0,0,1020.6,11.4,0,19,0,110,0,28, ,3.4,5,11.7,11.7,3.5,2410
21-Apr-23,0,18,0,4.7,0,0,0,0,1012.9,10.3,0,18,0,90,0,27, ,3.5,4.9,14.8,14.8,7,2150
22-Apr-23,0,10.1,0,4.2,0,3.3,0,0.6,1002.6,6.3,0,17,0,60,0,25, ,1.3,1.8,15.3,15.3,7.7,715
23-Apr-23,0,12.8,0,2.6,0,-0.8,0,1.6,1002,5.7,0,16,0,0,0,24, ,2,2.9,15.4,15.4,8.1,1712
24-Apr-23,0,10.7,0,1.6,0,3.5,0,0.9,1010.7,9.4,0,18,0,10,0,25, ,2,3.1,16.3,16.3,9.2,1700
25-Apr-23,0,11.6,0,-0.8,0,-4.8,0,0,1014,4.5,0,10,0,100,0,14, ,2.2,3.1,18.1,18.1,11.3,1890
26-Apr-23,0,13.2,0,5.6,0,4.9,0,0.6,1011.1,7.6,0,12,0,120,0,18, ,2.2,3,19.3,19.3,12.9,1228
27-Apr-23,0,14,0,7.4,0,6.2,0,3.9,1005.5,6.8,0,11,0,140,0,17, ,1.6,2.1,16.7,16.7,10.5,716
