date,ind,maxtp,ind,mintp,igmin,gmin,ind,rain,cbl,wdsp,ind,hm,ind,ddhm,ind,hg,soil,pe,evap,smd_wd,smd_md,smd_pd,glorad
1-Apr-23,0,11.5,0,2.5,0,6.8,0,0.2,1005.2,9.7,0,18,0,310,0,27,10.02,1.1,1.8,0.9,0.9,-8.6,913
2-Apr-23,0,13,0,3.3,0,-1.6,0,0,1018,5.2,0,11,0,140,0,16,9.901,1.7,2.4,2.6,2.6,-6.5,1391
3-Apr-23,0,10.9,0,6,0,3.5,0,0,1016.4,11.6,0,19,0,150,0,27,9.017,1.3,1.9,3.9,3.9,-4.8,535
4-Apr-23,0,12.9,0,7.1,0,6.5,0,2.2,1011.7,12.2,0,16,0,160,0,23,9.5,1.6,2.4,3.3,3.3,-5.1,961
5-Apr-23,0,14.4,0,7.5,0,9.2,0,0.9,1006.4,7.8,0,16,0,270,0,22,10.675,1.5,2,3.8,3.8,-4.3,728
6-Apr-23,0,13,0,2.3,0,3,0,1.9,1008,5.3,0,12,0,260,0,17,10.637,1.9,2.7,3.7,3.7,-4.1,1731
7-Apr-23,0,13.2,0,2.1,0,-2.4,0,0,1010,9.5,0,17,0,150,0,24,9.436,2.1,3.1,5.7,5.7,-1.8,1708
8-Apr-23,0,13.8,0,5.5,0,2.8,0,0,1009.4,11.7,0,22,0,150,0,29,9.487,1.9,2.9,7.5,7.5,0.2,1286
9-Apr-23,0,13.8,0,8.6,0,7.5,0,2.3,1001.7,14.8,0,22,0,140,0,30,9.807,1.8,2.5,6.9,6.9,-0.4,679
10-Apr-23,0,11.3,0,4,0,4.9,0,2.8,997.4,11.7,0,24,0,240,0,36,9.36,1.6,2.6,5.6,5.6,-1.5,1397
11-Apr-23,0,9.9,0,2.4,0,-0.2,0,6.9,990.6,11.5,0,23,0,240,0,43,7.521,1,1.5,0,-0.4,-7.4,633
12-Apr-23,0,8.5,0,1,0,0,0,7.2,980.1,15.1,0,30,0,280,0,43,6.294,1.1,1.8,0,-6.1,-10,756
13-Apr-23,0,12.3,0,1.3,0,-0.7,0,0.5,992,7.6,0,15,0,260,0,22,7.58,2.2,3.3,1.7,1.7,-7.8,1940
14-Apr-23,0,12.5,0,-0.1,0,-3.9,0,2,998.3,5.2,0,15,0,320,0,22,8.297,1.9,2.7,1.6,1.6,-7.5,1677
15-Apr-23,0,11.8,0,1.8,0,-3.4,0,2.6,1008.4,7.8,0,18,0,150,0,25,8.133,1.3,2,0.3,0.3,-8.4,1047
16-Apr-23,0,19.6,0,9.4,0,8.6,0,0.2,1012.5,7.3,0,12,0,190,0,16,11.695,2.5,3.4,2.5,2.5,-5.7,1581
17-Apr-23,0,15.1,0,6.3,0,9.9,0,0,1016.8,6.8,0,11,0,160,0,15,12.057,1.5,2.1,4,4,-4,905
18-Apr-23,0,17,0,4.9,0,1,0,0,1018.6,6.3,0,13,0,120,0,19,11.52,2.4,3.5,6.3,6.3,-1.3,1926
