date,ind,maxtp,ind,mintp,igmin,gmin,ind,rain,cbl,wdsp,ind,hm,ind,ddhm,ind,hg,soil,pe,evap,smd_wd,smd_md,smd_pd,glorad
1-Apr-23,0,12.3,0,5.2,0,6.2,0,0.1,1009.3,8.2,0,16,0,290,0,28,10.355,1.6,2.4,1.5,1.5,-8,1347
2-Apr-23,0,12.2,0,1.6,0,0.2,0,0,1021.5,5,0,9,0,130,0,13,9.379,1.5,2.2,3,3,-6.1,1307
3-Apr-23,0,11.4,0,6.7,0,4.1,0,0,1020.2,8.8,0,14,0,140,0,25,9.562,1.3,1.8,4.2,4.2,-4.5,585
4-Apr-23,0,11.7,0,8,0,7.3,0,4.5,1016.3,7,0,11,0,160,0,17,9.778,1.1,1.5,0.8,0.8,-7.7,498
5-Apr-23,0,15.4,0,7.9,0,9.4,0,3.5,1010.9,4.8,0,12,0,270,0,18,11.458,1.4,1.9,0,-1.4,-9.4,874
6-Apr-23,0,12.9,0,3.4,0,3,0,0.3,1011.8,3.9,0,9,0,320,0,15,10.943,1.8,2.5,1.5,1.5,-7.5,1531
7-Apr-23,0,12.1,0,2.2,0,-0.2,0,0,1013.9,7.1,0,14,0,150,0,21,9.509,1.5,2.3,3,3,-5.6,1280
8-Apr-23,0,12.9,0,8.3,0,6.9,0,0,1013.2,10,0,15,0,140,0,22,10.377,1.6,2.4,4.6,4.6,-3.7,1012
9-Apr-23,0,13.4,0,8.7,0,8,0,5.6,1006.3,9.7,0,14,0,190,0,22,10.66,1.2,1.8,0.2,0.2,-7.9,614
10-Apr-23,0,11.9,0,4.8,0,5.4,0,3.5,1002.7,7.8,0,19,0,250,0,30,10.585,1.8,2.8,0,-1.5,-9.1,1604
11-Apr-23,0,10.7,0,2,0,0.3,0,12.7,995.4,7.5,0,19,0,260,0,36,8.852,0.9,1.4,0,-10,-10,672
12-Apr-23,0,10.3,0,1.6,0,-0.9,0,8.4,985.1,13.5,0,25,0,290,0,44,7.453,1.5,2.4,0,-6.9,-10,973
13-Apr-23,0,11.4,0,-0.7,0,-3.3,0,0.4,996.5,3.8,0,11,0,250,0,19,8.514,1.7,2.5,1.3,1.3,-8.2,1627
14-Apr-23,0,13,0,4.6,0,3.4,0,0.1,1001.7,5.9,0,14,0,310,0,22,10.075,2.4,3.5,3.6,3.6,-5.4,1990
15-Apr-23,0,11.7,0,0.2,0,-2.5,0,0.6,1012.9,5.6,0,12,0,150,0,18,8.95,1.1,1.7,4.1,4.1,-4.6,963
16-Apr-23,0,14.4,0,9.5,0,8.8,0,0.2,1016.8,5.2,0,9,0,160,0,13,11.615,1.2,1.7,5.1,5.1,-3.4,803
17-Apr-23,0,14.2,0,8.6,0,10.3,0,0.1,1020.4,6.4,0,11,0,130,0,16,12.052,1.6,2.2,6.5,6.5,-1.7,1068
18-Apr-23,0,14.7,0,6.8,0,5.8,0,0.1,1021.4,6.4,0,13,0,100,0,20,12.602,2.3,3.4,8.6,8.6,0.6,1960
