date,ind,maxtp,ind,mintp,igmin,gmin,ind,rain,cbl,wdsp,ind,hm,ind,ddhm,ind,hg,soil,pe,evap,smd_wd,smd_md,smd_pd,glorad
1-Apr-23,0,12.3,0,7.3,0,7.6,0,2.3,1013.8,12.6,0,21,0,310,0,28,10.312,2.1,3.3,0,-0.2,-9.7,1694
2-Apr-23,0,10.9,0,3.5,0,-1.5,0,0,1025.4,7,0,15,0,140,0,21,9.274,1.7,2.6,1.7,1.7,-7.6,1716
3-Apr-23,0,10.9,0,9.1,0,7.2,0,0.5,1022.3,13.8,0,19,0,150,0,25,9.375,1.2,1.7,2.4,2.4,-6.5,416
4-Apr-23,0,11.5,0,8.9,0,8,0,8.5,1019.2,14.3,0,21,0,200,0,24,9.89,1.1,1.8,0,-5.1,-10,769
5-Apr-23,0,13.2,0,9,0,9.8,0,1.8,1014.9,11.6,0,16,0,230,0,23,11.312,1.4,2.5,0,-0.4,-9.9,1469
6-Apr-23,0,12.3,0,6.5,0,7.1,0,0,1015.6,10.4,0,16,0,250,0,21,10.67,2,3.3,2,2,-7.3,1912
7-Apr-23,0,12.1,0,5.3,0,1,0,0,1016.5,11.6,0,17,0,150,0,26,9.87,1.7,2.9,3.7,3.7,-5.2,1678
8-Apr-23,0,12.5,0,9.9,0,8.8,0,0,1014.8,14.2,0,19,0,140,0,25,10.622,1.6,2.5,5.2,5.2,-3.4,1048
9-Apr-23,0,12.2,0,10.3,0,10.2,0,3.6,1008.5,17.2,0,24,0,190,0,30,10.917,1,1.7,2.6,2.6,-5.9,677
10-Apr-23,0,11.4,0,7.3,0,6,0,6.5,1006.4,17.2,0,28,0,240,0,39,10.212,1.8,3.3,0,-2.2,-10,1795
11-Apr-23,0,9.9,0,4.4,0,6,0,16.4,999.8,21.4,0,38,0,260,0,55,9.155,1,1.9,0,-10,-10,814
12-Apr-23,0,10.6,0,4.3,0,2,0,10.3,991.6,29.3,0,48,0,240,0,66,8.172,2.1,4.2,0,-8.2,-10,1629
13-Apr-23,0,10.9,0,5.8,0,3.9,0,1.4,999.7,9.9,0,19,0,280,0,22,8.972,2,3.2,0.6,0.6,-8.9,1856
14-Apr-23,0,13.2,0,5.8,0,4.4,0,3.6,1004.8,9,0,16,0,280,0,22,10.273,2.7,4.1,0,-0.3,-9.4,2278
15-Apr-23,0,10.7,0,4.6,0,0.2,0,3.4,1016.3,8.8,0,16,0,160,0,21,9.275,0.7,1.2,0,-2.7,-10,584
16-Apr-23,0,11.6,0,10.3,0,9.3,0,0.4,1019.6,6.2,0,12,0,200,0,15,11.15,0.9,1.3,0.5,0.5,-9,646
17-Apr-23,0,13.2,0,9.7,0,10.3,0,0.1,1022.3,11,0,17,0,100,0,22,11.945,1.6,2.7,1.9,1.9,-7.1,1570
18-Apr-23,0,13.4,0,7.1,0,8.5,0,0.2,1023.3,12.8,0,18,0,90,0,24,11.717,1.5,2.8,3.3,3.3,-5.4,1619
19-Apr-23,0,12.6,0,6.9,0,5.3,0,0.7,1020.4,14.8,0,22,0,80,0,29,10.565,2,3.5,4.5,4.5,-3.8,1918
20-Apr-23,0,11.9,0,8.1,0,8.1,0,1.2,1016.4,19.5,0,28,0,80,0,37,10.717,2.3,4.3,5.5,5.5,-2.6,2276
21-Apr-23,0,12.3,0,6.7,0,5.3,0,0,1009.4,12.4,0,21,0,80,0,28,9.858,2,3.1,7.3,7.3,-0.5,1373
22-Apr-23,0,12.4,0,5.2,0,3.4,0,0.1,1001.8,7.9,0,14,0,10,0,17,10.735,2.2,3.4,9.3,9.3,1.6,2132
23-Apr-23,0,13.8,0,7.4,0,5,0,0,1003.4,10.9,0,18,0,270,0,21,10.852,2.4,3.6,11.4,11.4,4,1703
24-Apr-23,0,11.8,0,5,0,2.9,0,0,1011.3,10.3,0,19,0,10,0,25,10.405,2.1,3.3,13.3,13.3,6.1,1790
25-Apr-23,0,11.3,0,3.5,0,1.3,0,0.9,1013.3,13.1,0,18,0,120,0,25,9.38,1.6,2.7,13.8,13.8,6.8,1383
26-Apr-23,0,12,0,8.4,0,7.9,0,6.2,1010.7,12.1,0,17,0,100,0,23,10.507,0.9,1.6,8.4,8.4,1.5,749
27-Apr-23,0,12.6,0,10.1,0,9.8,0,1,1006.4,9.3,0,17,0,90,0,24,11.61,1.3,2,8.6,8.6,1.8,1004
28-Apr-23,0,14.7,0,9.9,0,8.8,0,0.1,1010.8,5.6,0,12,0,240,0,14,13.165,1.7,2.5,10.1,10.1,3.4,1403
29-Apr-23,0,12.3,0,11,0,11.2,0,1.7,1015.8,5.5,0,10,0,160,0,13,13.253,1.1,1.5,9.4,9.4,2.8,778
30-Apr-23,0,14.9,0,10.6,0,11.1,0,0.1,1016.6,9.8,0,14,0,280,0,18,13.927,2.4,4,11.5,11.5,5.1,2265
1-May-23,0,14.2,0,9.7,0,7,0,0.1,1019.2,6,0,11,0,270,0,13,14.085,2.9,4.3,14,14,7.9,2512
2-May-23,0,13.6,0,10,0,7,0,0,1019.6,10.4,0,15,0,100,0,19,13.498,1.7,2.8,15.5,15.5,9.6,1444
3-May-23,0,14.3,0,11.4,0,10.4,0,0,1014,18.1,0,25,0,90,0,35,13.273,2.1,3.8,17.3,17.3,11.7,1757
4-May-23,0,11.8,0,10.5,0,9.8,0,16.7,1006,12.3,0,21,0,80,0,29,11.908,1,1.4,1.4,1.4,-4,322
5-May-23,0,14.7,0,11.3,0,10.3,0,0.5,1004.5,10.4,0,14,0,190,0,18,13.525,2,3.3,2.9,2.9,-2.3,1806
6-May-23,0,15.1,0,11.3,0,11.2,0,2.3,1008.6,7,0,12,0,240,0,14,14.823,2.3,3.5,2.8,2.8,-2.2,1998
7-May-23,0,13.6,0,11.6,0,10.4,0,9.7,1011.6,13.6,0,22,0,190,0,29,13.753,0.9,1.6,0,-6,-10,667
8-May-23,0,14.2,0,11.5,0,12.4,0,0.6,1010.8,10.1,0,17,0,200,0,22,13.905,1.1,1.9,0.5,0.5,-9,963
9-May-23,0,14.5,0,10.7,0,9.2,0,0.6,1010.4,12.8,0,22,0,270,0,28,13.938,2.2,3.9,2.2,2.2,-6.9,2032
10-May-23,0,13.7,0,10.1,0,8.6,0,0.4,1013.2,17,0,23,0,280,0,32,13.052,2.2,3.8,3.9,3.9,-4.7,1700
11-May-23,0,14.8,0,10.5,0,8.2,0,0,1017.9,14,0,21,0,340,0,29,13.06,2.5,4.1,6.3,6.3,-2,1836
12-May-23,0,17,0,10.4,0,7,0,0,1024.3,7.1,0,15,0,0,0,19,14.465,3.4,4.9,9.5,9.5,1.5,2626
13-May-23,0,16,0,9,0,4.1,0,0.1,1024.5,6,0,11,0,240,0,13,15.01,3,4.4,12.2,12.2,4.4,2532
14-May-23,0,14.6,0,9.5,0,9.9,0,2.2,1021.2,10.3,0,17,0,320,0,24,14.163,2.4,3.6,12.1,12.1,4.6,1601
15-May-23,0,15.4,0,7.9,0,5.7,0,0,1025.1,8.7,0,16,0,270,0,20,12.977,3.1,4.5,14.8,14.8,7.7,2170
16-May-23,0,14.4,0,6.6,0,1.2,0,0,1026.9,5.4,0,10,0,200,0,12,13.513,3.3,4.8,17.7,17.7,11,2845
17-May-23,0,13.4,0,7.7,0,2.9,0,0,1027.8,5.2,0,10,0,240,0,12,14.092,3,4.3,20.2,20.2,14,2573
18-May-23,0,14.9,0,10.3,0,6.4,0,0.2,1027.2,6.9,0,12,0,230,0,15,14.227,2.3,3.4,21.9,21.9,15.9,1748
