date,ind,maxtp,ind,mintp,igmin,gmin,ind,rain,cbl,wdsp,ind,hm,ind,ddhm,ind,hg,soil,pe,evap,smd_wd,smd_md,smd_pd,glorad
1-Jan-24,0,9.7,0,1.5,0,-1.4,0,14.1,978.1,6.8,0,12,0,200,0,21,4.955,0.3,0.4,0,-10,-10,91
2-Jan-24,0,9.4,0,7.1,0,-1.6,0,0.6,969.8,7.7,0,13,0,220,0,22,6.901,0.4,0.5,0,-0.2,-9.7,90
3-Jan-24,0,8.8,0,6.2,0,5.1,0,0.2,978.3,5.3,0,9,0,220,0,15,7.134,0.2,0.2,0,0,-9.3,191
4-Jan-24,0,7.6,0,2.5,0,0.1,0,0.7,987.9,4.3,0,10,0,220,0,17,6.245,0,0,0,-0.7,-9.5,274
5-Jan-24,0,8.1,0,2.1,0,-0.9,0,0.2,998,2.8,0,6,0,270,0,11,4.344,0,0.1,0,-0.2,-9.2,292
6-Jan-24,0,7.5,0,-0.8,0,-5.5,0,0,1011,2.5,0,5,0,270,0,7,2.842,0,0,0,0,-8.8,342
7-Jan-24,0,-0.2,0,-3.9,0,-6.5,0,0,1020.6,1.6,0,5,0,280,0,6,1.906,0,0,0,0,-8.3,220
8-Jan-24,0,3,0,-4,0,-7,0,0,1025,2.9,0,9,0,70,0,15,1.602,0,0.1,0,0,-7.9,224
9-Jan-24,0,4.3,0,0.2,0,-3,0,0,1025.6,6.5,0,11,0,70,0,21,2.033,0.4,0.4,0.4,0.4,-7.2,327
10-Jan-24,0,5.2,0,-2.1,0,-7.5,0,0,1027.1,4.7,0,10,0,30,0,18,1.658,0.1,0.2,0.5,0.5,-6.7,289
11-Jan-24,0,5.9,0,3.7,0,-5,0,0,1030.9,4.5,0,8,0,40,0,15,3.51,0.5,0.7,1,1,-5.8,95
12-Jan-24,0,3.8,0,1.2,0,2.1,0,0,1028.6,2,0,5,0,350,0,8,3.926,0.4,0.5,1.4,1.4,-5.2,80
13-Jan-24,0,5.8,0,1,0,-1.4,0,0.1,1017.5,2.1,0,4,0,240,0,7,4.084,0.1,0.2,1.4,1.4,-4.9,197
14-Jan-24,0,4.8,0,-1.7,0,-6.7,0,0,1008.9,3.1,0,7,0,320,0,12,3.032,0.1,0.1,1.4,1.4,-4.6,265
15-Jan-24,0,2.8,0,-1.9,0,-8,0,0,1005,2.8,0,5,0,310,0,9,2.009,0,0.1,1.5,1.5,-4.4,344
16-Jan-24,0,5.3,0,-0.5,0,-5.1,0,0.5,995.6,7.3,0,13,0,220,0,23,2.562,0.2,0.3,1.1,1.1,-4.4,259
17-Jan-24,0,1.3,0,-5,0,-8.7,0,0,989.1,2.5,0,5,0,310,0,9,1.813,0,0,1.1,1.1,-4.2,457
