Station Name: DUNSANY,,,,,,,,,,,,,,,,,,,,,,,
Station Height: 83 M ,,,,,,,,,,,,,,,,,,,,,,,
Latitude:53.516  ,Longitude: -6.660,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
date:  -  00 to 00 utc,,,,,,,,,,,,,,,,,,,,,,,
rain:  -  Precipitation Amount (mm),,,,,,,,,,,,,,,,,,,,,,,
"maxtp: -  Maximum Air Temperature (C)	  ",,,,,,,,,,,,,,,,,,,,,,,
mintp: -  Minimum  Air Temperature (C),,,,,,,,,,,,,,,,,,,,,,,
gmin:  -  09utc Grass Minimum Temperature (C),,,,,,,,,,,,,,,,,,,,,,,
"soil:  -  Mean 10cm soil temperature (C)	",,,,,,,,,,,,,,,,,,,,,,,
cbl:   -  Mean CBL Pressure (hpa),,,,,,,,,,,,,,,,,,,,,,,
wdsp:  -  Mean Wind Speed (kt),,,,,,,,,,,,,,,,,,,,,,,
"hm:    -  Highest ten minute mean wind speed (kt)		                 ",,,,,,,,,,,,,,,,,,,,,,,
ddhm:  -  Wind Direction at max 10 min mean (deg)                  ,,,,,,,,,,,,,,,,,,,,,,,
hg:    -  Highest Gust (kt),,,,,,,,,,,,,,,,,,,,,,,
pe:    -  Potential Evapotranspiration (mm)  ,,,,,,,,,,,,,,,,,,,,,,,
evap:  -  Evaporation (mm),,,,,,,,,,,,,,,,,,,,,,,
smd_wd:-  Soil Moisture Deficits(mm) well drained,,,,,,,,,,,,,,,,,,,,,,,
smd_md:-  Soil Moisture Deficits(mm) moderately drained,,,,,,,,,,,,,,,,,,,,,,,
smd_pd:-  Soil Moisture Deficits(mm) poorly drained,,,,,,,,,,,,,,,,,,,,,,,
glorad:-  Global Radiation (J/cm sq.),,,,,,,,,,,,,,,,,,,,,,,
ind:   -  Indicator (i),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
date,ind,maxtp,ind,mintp,igmin,gmin,ind,rain,cbl,wdsp,ind,hm,ind,ddhm,ind,hg,soil,pe,evap,smd_wd,smd_md,smd_pd,glorad
1-Jan-24,0,10.2,0,1.7,0,0.5,0,11.4,979.2,10.1,0,18,0,220,0,26,4.9,0.4,0.6,0,-10,-10,78
2-Jan-24,0,10,0,5.3,0,0.7,0,6.1,970.6,8.9,0,15,0,220,0,21,6.747,0.4,0.5,0,-5.7,-10,68
3-Jan-24,0,8.1,0,5.2,0,4,0,0.1,979.1,7.6,0,14,0,220,0,21,6.221,0.2,0.3,0.1,0.1,-9.4,154
4-Jan-24,0,7.1,0,2.9,0,2.3,0,0.2,988.2,6.4,0,14,0,230,0,23,5.701,0,0,0,-0.1,-9.1,333
5-Jan-24,0,7.1,0,1.2,0,-1.2,0,0,997.6,5.5,0,9,0,280,0,15,4.548,0,0.1,0,0,-8.6,342
6-Jan-24,0,6.8,0,-0.9,0,-2.9,0,0,1010.4,3.7,0,7,0,270,0,10,2.83,0,0,0,0,-8.2,353
7-Jan-24,0,1.3,0,-3.1,0,-5.7,0,0,1019.8,1.7,0,5,0,300,0,8,1.942,0,0,0,0,-7.8,244
8-Jan-24,0,4.7,0,-0.4,0,-5.8,0,0.3,1024.4,6.8,0,12,0,100,0,21,1.804,0.5,0.6,0.2,0.2,-7.2,128
9-Jan-24,0,5.1,0,2.7,0,1,0,0.1,1024.1,11,0,17,0,60,0,24,2.655,0.8,0.9,1,1,-6.1,297
10-Jan-24,0,6.3,0,2.5,0,0.6,0,0.2,1025.4,7.1,0,13,0,50,0,18,2.994,0.5,0.6,1.3,1.3,-5.5,191
11-Jan-24,0,7,0,4.5,0,2.9,0,0,1029.5,5.7,0,10,0,50,0,15,4.441,0.4,0.5,1.7,1.7,-4.8,136
