date,ind,maxtp,ind,mintp,igmin,gmin,ind,rain,cbl,wdsp,ind,hm,ind,ddhm,ind,hg,soil,pe,evap,smd_wd,smd_md,smd_pd,glorad
1-Jan-24,0,9.8,0,4,0,2.8,0,11,982.9,11.7,0,28,0,280,0,36, ,0.7,0.8,0,-10,-10,98
2-Jan-24,0,10.4,0,7.3,0,2.4,0,0.5,974.2,11.4,0,19,0,220,0,30, ,0.6,0.7,0.1,0.1,-9.4,110
3-Jan-24,0,8.7,0,6.1,0,4.4,0,5.1,982.7,8,0,14,0,240,0,20, ,0.2,0.2,0,-4.8,-10,188
4-Jan-24,0,8.8,0,4.3,0,4.6,0,6.5,993,8.1,0,15,0,230,0,21, ,0.1,0,0,-6.4,-10,301
5-Jan-24,0,8.4,0,3.9,0,1,0,2.1,1003.7,9.4,0,16,0,300,0,23, ,0.4,0.5,0,-1.7,-10,171
6-Jan-24,0,8.5,0,1,0,-0.1,0,1.8,1016.9,4.4,0,15,0,310,0,21, ,0,0.1,0,-1.8,-10,276
7-Jan-24,0,6.2,0,-1,0,-3.1,0,0,1026.6,5.1,0,9,0,110,0,11, ,0,0,0,0,-9.5,316
8-Jan-24,0,4.2,0,-0.3,0,-2.2,0,0,1030.8,6.1,0,11,0,110,0,15, ,0.1,0.1,0.1,0.1,-8.9,232
9-Jan-24,0,4.1,0,0.2,0,-3.4,0,0,1031.8,8.4,0,14,0,90,0,23, ,0.5,0.5,0.6,0.6,-8,291
10-Jan-24,0,4.9,0,-2.3,0,-6.6,0,0,1033.7,4.7,0,10,0,80,0,14, ,0.2,0.3,0.8,0.8,-7.3,208
11-Jan-24,0,6.3,0,3.8,0,-4.1,0,0,1037.4,4.3,0,9,0,80,0,13, ,0.5,0.7,1.4,1.4,-6.5,76
12-Jan-24,0,3.8,0,2.3,0,2.2,0,0,1034.5,2.7,0,8,0,340,0,13, ,0.4,0.6,1.8,1.8,-5.7,55
13-Jan-24,0,8.1,0,1.5,0,-0.6,0,0.5,1023.2,3.3,0,8,0,0,0,11, ,0.1,0.2,1.4,1.4,-5.8,219
14-Jan-24,0,6.2,0,0.3,0,-2.7,0,0.1,1015,5.3,0,16,0,330,0,25, ,0.2,0.2,1.4,1.4,-5.5,257
15-Jan-24,0,3.6,0,-0.2,0,-3.3,0,0.2,1010.8,5.4,0,17,0,330,0,24, ,0.3,0.4,1.6,1.6,-5.1,177
16-Jan-24,0,7.1,0,-0.4,0,-1.3,0,13.6,1001.2,12,0,21,0,240,0,30, ,0.4,0.5,0,-10,-10,114
17-Jan-24,0,3,0,-2.7,0,-5.9,0,0.4,995.2,2.9,0,11,0,300,0,15, ,0,0.1,0,-0.4,-9.9,372
18-Jan-24,0,4.9,0,-2.3,0,-8.2,0,2.6,1005.7,5.5,0,17,0,0,0,23, ,0.3,0.4,0,-2.3,-10,290
19-Jan-24,0,6.9,0,0.9,0,-2.4,0,0.1,1008.1,14.7,0,24,0,200,0,35, ,0.7,0.9,0.6,0.6,-8.9,309
20-Jan-24,0,11.3,0,6.5,0,1.2,0,5.8,997.7,17,0,29,0,190,0,44, ,1,1.3,0,-4.1,-10,159
21-Jan-24,0,13,0,5.5,0,4.5,0,15.7,978.4,23.3,0,49,0,240,0,70, ,0.8,1.3,0,-10,-10,61
22-Jan-24,0,8.8,0,2.8,0,0.2,0,10.4,994.1,25.1,0,37,0,260,0,55, ,0.9,1.4,0,-9.5,-10,216
23-Jan-24,0,14.7,0,5.4,0,2.2,0,9.2,998.9,22.1,0,39,0,250,0,58, ,1.1,1.6,0,-8.1,-10,98
24-Jan-24,0,9.9,0,5.7,0,6,0,0.9,1007.7,15.2,0,36,0,270,0,49, ,0.8,1,0,-0.1,-9.6,327
25-Jan-24,0,13.8,0,5.9,0,2.8,0,7.4,1006.5,14.9,0,26,0,240,0,39, ,0.6,0.7,0,-6.8,-10,420
26-Jan-24,0,9.4,0,3.3,0,2,0,2.8,1010.7,18,0,36,0,270,0,52, ,0.8,1,0,-2,-10,371
27-Jan-24,0,11.2,0,7.9,0,3.6,0,0,1012.8,14.5,0,21,0,200,0,33, ,1,1.2,1,1,-8.5,202
28-Jan-24,0,14.3,0,6.1,0,7.9,0,2.1,1004.6,17.4,0,31,0,210,0,44, ,1.5,1.8,0.4,0.4,-8.7,224
29-Jan-24,0,7.5,0,0.6,0,-1.3,0,0,1017.6,3,0,9,0,330,0,12, ,0.2,0.3,0.6,0.6,-8.1,405
30-Jan-24,0,8.9,0,0.4,0,-4.1,0,0,1022.3,8.5,0,17,0,200,0,24, ,0.5,0.7,1.1,1.1,-7.1,514
31-Jan-24,0,11.5,0,6,0,2.7,0,6.7,1015.7,20.8,0,32,0,230,0,48, ,1.3,1.8,0,-4.4,-10,68
1-Feb-24,0,12.9,0,6.8,0,5.4,0,0,1023.9,10.7,0,20,0,280,0,26, ,1.2,1.4,1.2,1.2,-8.3,202
2-Feb-24,0,12.8,0,9.5,0,6.4,0,0.7,1018.6,17.2,0,22,0,230,0,31, ,0.7,1,1.2,1.2,-7.9,207
3-Feb-24,0,10.2,0,6.8,0,5.6,0,0.2,1019.3,14.2,0,21,0,250,0,28, ,0.6,0.8,1.5,1.5,-7.2,300
4-Feb-24,0,12.1,0,8.2,0,6.5,0,0.4,1015,20.4,0,29,0,250,0,39, ,0.9,1.3,2,2,-6.3,113
5-Feb-24,0,11.3,0,9.6,0,8.8,0,1.1,1005.3,17.1,0,23,0,230,0,33, ,0.9,1.2,1.8,1.8,-6.1,138
6-Feb-24,0,10.6,0,2.1,0,5.4,0,10.1,1000.3,9.1,0,22,0,230,0,32, ,0.4,0.6,0,-7.9,-10,355
7-Feb-24,0,5.7,0,0.5,0,-2.2,0,0.1,1000.6,3.3,0,9,0,80,0,12, ,0.4,0.5,0.3,0.3,-9.2,311
