date,ind,maxtp,ind,mintp,igmin,gmin,ind,rain,cbl,wdsp,ind,hm,ind,ddhm,ind,hg,soil,pe,evap,smd_wd,smd_md,smd_pd,glorad
1-Jan-24,0,11.7,0,2,0,-0.7,0,7.8,985.9,5.7,0,12,0,170,0,22,5.952,0.4,0.5,0,-7.4,-10,44
2-Jan-24,0,10.7,0,5.9,0,3.8,0,6.6,977.2,4.5,0,12,0,250,0,21,7.556,0.3,0.4,0,-6.3,-10,169
3-Jan-24,0,9.5,0,3.4,0,0.3,0,4.6,986.1,4.6,0,12,0,260,0,18,6.601,0.3,0.4,0,-4.3,-10,178
4-Jan-24,0,8.4,0,-0.7,0,-2.7,0,0.1,995.3,1.7,0,5,0,230,0,8,4.274,0.2,0.4,0.1,0.1,-9.4,206
5-Jan-24,0,8.8,0,0.3,0,-2.4,0,0,1004.2,3.8,0,10,0,280,0,16,3.58,0.3,0.4,0.4,0.4,-8.6,215
6-Jan-24,0,7.5,0,-2.1,0,-4.2,0,0,1016.5,2.7,0,9,0,340,0,14,2.349,0.2,0.3,0.6,0.6,-8,214
7-Jan-24,0,-0.4,0,-4.5,0,-4.1,0,0,1024.3,1.6,0,5,0,270,0,7,2.011,0.1,0.1,0.7,0.7,-7.5,206
8-Jan-24,0,4.4,0,-4.7,0,-5.3,0,0,1026.9,4.5,0,13,0,90,0,21,1.666,0.3,0.4,1,1,-6.8,220
9-Jan-24,0,4,0,-0.3,0,-2.7,0,0,1025.9,7.2,0,13,0,80,0,20,2.204,0.7,0.9,1.7,1.7,-5.7,94
10-Jan-24,0,5.5,0,-0.8,0,-4.7,0,0,1028.3,5.5,0,13,0,60,0,17,1.288,0.4,0.5,2.1,2.1,-5,235
11-Jan-24,0,7.4,0,-2.9,0,-3.4,0,0,1033.4,4.5,0,9,0,30,0,15,1.964,0.4,0.5,2.5,2.5,-4.4,221
12-Jan-24,0,5,0,-3.2,0,-5.1,0,0,1032.2,2.3,0,7,0,10,0,11,2.128,0.3,0.4,2.8,2.8,-3.9,108
13-Jan-24,0,5.5,0,0.5,0,-0.6,0,0,1022.1,3.8,0,10,0,40,0,14,3.411,0.3,0.4,3.1,3.1,-3.3,205
14-Jan-24,0,6.5,0,-0.5,0,-2.2,0,0.1,1013.4,3.5,0,7,0,0,0,12,3.726,0.2,0.4,3.3,3.3,-3,264
15-Jan-24,0,6.1,0,-4.2,0,-4.6,0,0,1010.8,3,0,7,0,230,0,10,1.733,0.3,0.4,3.5,3.5,-2.6,328
16-Jan-24,0,4.3,0,-6.6,0,-7.1,0,0,1001.1,1.3,0,4,0,230,0,5,0.939,0.1,0.3,3.6,3.6,-2.4,354
17-Jan-24,0,3.5,0,-5.8,0,-6.3,0,0,993,3.4,0,8,0,30,0,13,0.578,0.2,0.3,3.9,3.9,-2,349
18-Jan-24,0,3.8,0,-5.8,0,-6.2,0,0,1006,4.5,0,9,0,280,0,13,0.255,0.2,0.4,4.1,4.1,-1.7,362
19-Jan-24,0,7.7,0,-7.2,0,-11.3,0,0,1012.4,4.3,0,13,0,180,0,22,-0.132,0.3,0.5,4.4,4.4,-1.3,411
20-Jan-24,0,10.4,0,7.1,0,-8.7,0,17.1,1002.5,10.3,0,16,0,190,0,33,0.904,0.7,0.9,0,-10,-10,99
21-Jan-24,0,14.1,0,6.3,0,2.9,0,14.4,988.7,14.1,0,24,0,210,0,45,5.451,0.6,0.8,0,-10,-10,93
22-Jan-24,0,10,0,3.1,0,3.3,0,2.2,1001.1,9.5,0,21,0,240,0,35,5.448,0.7,0.8,0,-1.5,-10,423
23-Jan-24,0,14.3,0,3.6,0,-0.5,0,4.2,1006,12.6,0,24,0,240,0,41,6.768,0.6,0.9,0,-3.6,-10,177
