date,rain,maxtp,mintp,cbl,glorad
1/01/2024,11.93,10.57,3.03,981.9,64.44
2/01/2024,5.77,10.22,6.53,973.32,125.44
3/01/2024,2.1,9.21,5.46,981.98,210.22
4/01/2024,1.18,8.17,2.52,991.51,309
5/01/2024,0.36,8.18,2.28,1001.11,314.89
6/01/2024,0.26,7.64,-0.04,1013.68,348
7/01/2024,0.08,3.92,-2.1,1022.29,308.89
8/01/2024,0.14,4.48,-1.13,1025.83,196.78
9/01/2024,0.58,4.62,0.63,1025.64,238.56
10/01/2024,0.02,5.52,-0.06,1027.61,300.44
11/01/2024,0,6.73,3.19,1032.03,180.22
12/01/2024,0,4.89,1.12,1030.28,86.22
13/01/2024,0.26,5.84,0.97,1019.76,187.56
14/01/2024,0.13,5.71,-0.1,1011.16,299.11
15/01/2024,0.09,3.83,-2.07,1007.81,372.22
16/01/2024,1.87,5.22,-1.89,998.2,320.33
17/01/2024,0.07,2.87,-3.58,991.07,413
18/01/2024,0.38,4.18,-4.2,1002.91,445.78
19/01/2024,0.37,6.61,-2.63,1008.14,374.22
20/01/2024,9.58,10.14,6.06,998.28,119.11
21/01/2024,15.96,13.06,6.26,982.14,62.33
22/01/2024,3.18,8.67,4.43,995.47,344.67
23/01/2024,10.19,13.42,5.23,1000.74,105
24/01/2024,0.74,10.12,6.09,1008.7,263.22
25/01/2024,6.59,12.89,6.52,1005.99,189.22
26/01/2024,1.29,9.14,2.76,1011.18,444.11
27/01/2024,0.43,10.54,6.99,1013.1,219.11
28/01/2024,1.54,12.57,5.81,1004.34,151.56
29/01/2024,6.19,6.88,1.09,1014.27,298.67
30/01/2024,0.03,8.52,-1.09,1020.41,525.11
31/01/2024,3.57,11,3.46,1016.26,122.44
1/02/2024,0.11,10.3,2.51,1023.49,373.56
2/02/2024,0.7,12.41,9.04,1018.99,223.44
3/02/2024,0.86,11.43,7.94,1018.09,307
4/02/2024,0.41,12.87,8.13,1014.96,254.44
5/02/2024,0.52,11.51,8.98,1006.47,212
6/02/2024,10.06,11.21,3.24,998.17,209.56
7/02/2024,0.63,6.46,1.06,995.61,427.78
8/02/2024,19.23,7.08,2.7,978.41,169.67
9/02/2024,6.52,7.49,4.91,966,281.67
10/02/2024,4.29,9.33,3.48,973.31,410.44
11/02/2024,1.89,9.18,2.44,984.73,648.78
12/02/2024,1.32,8.84,1.27,994.12,640.44
13/02/2024,4.94,9.89,2.94,997.08,361.78
14/02/2024,6.19,12.5,8.74,995.6,219.78
15/02/2024,5.33,12.78,7.53,994.82,454.11
16/02/2024,1.61,12.22,8.23,1005.24,476
17/02/2024,5.89,12.86,8.99,1011.77,200.33
18/02/2024,1.54,13.26,8.77,1017.58,569
19/02/2024,0.5,12.02,7.66,1020.26,600.22
20/02/2024,3.11,12.11,6.03,1010.06,468.67
21/02/2024,8.1,12.69,6.19,990.66,597.67
22/02/2024,4.72,8.22,2.77,976.14,688
23/02/2024,3.3,7.5,1.9,977.11,657.33
24/02/2024,0.56,9.57,2.06,984.22,731.78
25/02/2024,3.02,8.22,3.51,992.29,422.11
26/02/2024,0,9.53,1.67,1009.67,1013.44
27/02/2024,1.24,10.98,3.4,1010.82,617.22
28/02/2024,9.03,11.94,4.64,1002.72,262.56
29/02/2024,4.77,8.03,2.01,988.64,787.78
1/03/2024,12.94,5.73,0.84,982.07,513.78
2/03/2024,1.98,7.26,1.72,988.22,785.56
3/03/2024,1.23,9.88,1.54,992.87,892.67
4/03/2024,4,8.79,2.59,989.56,426.22
5/03/2024,2.73,12.07,4.9,997.52,948.44
6/03/2024,0.72,11.13,5.04,1007.26,577.33
7/03/2024,0.31,10.52,5.96,1006.8,884.56
8/03/2024,0.07,8.19,5.18,997.89,551.56
9/03/2024,0.78,7.7,4.92,989.53,230.22
10/03/2024,1.4,8.37,5.73,992.56,278.33
11/03/2024,7.3,9.8,6,998.22,489
12/03/2024,4.32,12.71,7.66,994.31,489.33
13/03/2024,9.98,12.17,7.6,993.67,527.11
14/03/2024,13.62,13.12,7.3,989.29,510.44
15/03/2024,0.58,12.08,2.86,996.5,1070.22
16/03/2024,7.16,12.29,2.34,1003.68,291.89
17/03/2024,1.09,13.51,8.2,999.83,938
18/03/2024,3.38,11.97,6.37,996.61,537.22
19/03/2024,3.27,12.54,6.93,1000.6,850.67
20/03/2024,2.81,12.22,4.28,1011.43,1221.33
21/03/2024,1.98,12.58,4.97,1012.96,431.11
22/03/2024,1.98,10.48,3.87,1011.57,1415.56
23/03/2024,2.5,9.92,3.52,1008.16,1298
24/03/2024,6.7,9.73,4.83,998.99,655.78
25/03/2024,7.73,10.82,6.04,985.78,783.67
26/03/2024,6.88,9.06,5.19,975.46,582.67
27/03/2024,4.73,8.41,1.74,962.98,1041.44
28/03/2024,1.47,10.26,0.94,964.5,1200.67
29/03/2024,1.74,12.13,2.33,972.26,1374.44
30/03/2024,1.47,12.43,3.58,980.28,1558.44
31/03/2024,3.36,13.06,5.9,983.3,1094.22
1/04/2024,1.36,10.88,5.94,986.17,920.22
2/04/2024,1.71,12.39,2.72,990.19,1166.22
3/04/2024,4.4,12.44,6.22,990.36,1085.33
4/04/2024,9.33,11.12,6.27,986.36,585.78
5/04/2024,6.2,13.99,9.92,982,858.78
6/04/2024,2.23,13.93,7.81,975.29,1178.78
7/04/2024,2.96,12.7,6.48,986.26,1677.78
8/04/2024,12.23,8.9,4.7,993.14,470.67
9/04/2024,0.46,12.06,4.88,1003.94,1858.11
10/04/2024,8.86,14.18,6.33,1008.04,487.11
11/04/2024,4.83,14.77,11.01,1013.98,703
12/04/2024,1.53,13.82,10.11,1013.51,650.78
13/04/2024,1.01,13.06,5.79,1011.92,1615.89
14/04/2024,4.74,11.34,4.1,1007.86,1148
15/04/2024,4.76,10.46,4.73,1004.12,1669.33
16/04/2024,1.57,12.33,5.43,1012.99,1694.78
17/04/2024,1.9,12.23,4.5,1013.69,955.67
18/04/2024,0.17,12.98,5.3,1015.68,1055.44
