date,solargen,,
1/01/2024 0:00,0.1,,
1/01/2024 0:15,0.1,,
1/01/2024 0:30,0.1,,
1/01/2024 0:45,0.09,,
1/01/2024 1:00,0.1,,
1/01/2024 1:15,0.08,,
1/01/2024 1:30,0.09,,
1/01/2024 1:45,0.09,,
1/01/2024 2:00,0.08,,
1/01/2024 2:15,0.08,,
1/01/2024 2:30,0.1,,
1/01/2024 2:45,0.09,,
1/01/2024 3:00,0.08,,
1/01/2024 3:15,0.11,,
1/01/2024 3:30,0.09,,
1/01/2024 3:45,0.09,,
1/01/2024 4:00,0.09,,
1/01/2024 4:15,0.1,,
1/01/2024 4:30,0.1,,
1/01/2024 4:45,0.11,,
1/01/2024 5:00,0.09,,
1/01/2024 5:15,0.09,,
1/01/2024 5:30,0.1,,
1/01/2024 5:45,0.13,,
1/01/2024 6:00,0.1,,
1/01/2024 6:15,0.13,,
1/01/2024 6:30,0.09,,
1/01/2024 6:45,0.11,,
1/01/2024 7:00,0.1,,
1/01/2024 7:15,0.1,,
1/01/2024 7:30,0.11,,
1/01/2024 7:45,0.11,,
1/01/2024 8:00,0.12,,
1/01/2024 8:15,0.11,,
1/01/2024 8:30,0.71,,
1/01/2024 8:45,2.49,,
1/01/2024 9:00,5.34,,
1/01/2024 9:15,10.96,,
1/01/2024 9:30,17.64,,
1/01/2024 9:45,16.59,,
1/01/2024 10:00,18.18,,
1/01/2024 10:15,23.74,,
1/01/2024 10:30,30.06,,
1/01/2024 10:45,29.23,,
1/01/2024 11:00,33.48,,
1/01/2024 11:15,32.96,,
1/01/2024 11:30,30.46,,
1/01/2024 11:45,29.77,,
1/01/2024 12:00,32.11,,
1/01/2024 12:15,24.49,,
1/01/2024 12:30,24.12,,
1/01/2024 12:45,18.64,,
1/01/2024 13:00,13.68,,
1/01/2024 13:15,10.37,,
1/01/2024 13:30,9.76,,
1/01/2024 13:45,11.93,,
1/01/2024 14:00,10.43,,
1/01/2024 14:15,8.44,,
1/01/2024 14:30,6.71,,
1/01/2024 14:45,5.96,,
1/01/2024 15:00,3.53,,
1/01/2024 15:15,1.96,,
1/01/2024 15:30,1.09,,
1/01/2024 15:45,0.21,,
1/01/2024 16:00,0,,
1/01/2024 16:15,0.08,,
1/01/2024 16:30,0.09,,
1/01/2024 16:45,0.08,,
1/01/2024 17:00,0.07,,
1/01/2024 17:15,0.08,,
1/01/2024 17:30,0.07,,
1/01/2024 17:45,0.09,,
1/01/2024 18:00,0.08,,
1/01/2024 18:15,0.1,,
1/01/2024 18:30,0.11,,
1/01/2024 18:45,0.09,,
1/01/2024 19:00,0.1,,
1/01/2024 19:15,0.05,,
1/01/2024 19:30,0.11,,
1/01/2024 19:45,0.09,,
1/01/2024 20:00,0.1,,
1/01/2024 20:15,0.08,,
1/01/2024 20:30,0.08,,
1/01/2024 20:45,0.11,,
1/01/2024 21:00,0.08,,
1/01/2024 21:15,0.09,,
1/01/2024 21:30,0.08,,
1/01/2024 21:45,0.07,,
1/01/2024 22:00,0.08,,
1/01/2024 22:15,0.08,,
1/01/2024 22:30,0.08,,
1/01/2024 22:45,0.07,,
1/01/2024 23:00,0.07,,
1/01/2024 23:15,0.1,,
1/01/2024 23:30,0.07,,
1/01/2024 23:45,0.09,,
2/01/2024 0:00,0.07,,
2/01/2024 0:15,0.07,,
2/01/2024 0:30,0.09,,
2/01/2024 0:45,0.08,,
2/01/2024 1:00,0.07,,
2/01/2024 1:15,0.09,,
2/01/2024 1:30,0.07,,
2/01/2024 1:45,0.09,,
2/01/2024 2:00,0.07,,
2/01/2024 2:15,0.09,,
2/01/2024 2:30,0.08,,
2/01/2024 2:45,0.09,,
2/01/2024 3:00,0.07,,
2/01/2024 3:15,0.09,,
2/01/2024 3:30,0.07,,
2/01/2024 3:45,0.07,,
2/01/2024 4:00,0.09,,
2/01/2024 4:15,0.07,,
2/01/2024 4:30,0.08,,
2/01/2024 4:45,0.08,,
2/01/2024 5:00,0.07,,
2/01/2024 5:15,0.07,,
2/01/2024 5:30,0.09,,
2/01/2024 5:45,0.07,,
2/01/2024 6:00,0.08,,
2/01/2024 6:15,0.08,,
2/01/2024 6:30,0.09,,
2/01/2024 6:45,0.09,,
2/01/2024 7:00,0.07,,
2/01/2024 7:15,0.09,,
2/01/2024 7:30,0.07,,
2/01/2024 7:45,0.11,,
2/01/2024 8:00,0.07,,
2/01/2024 8:15,0.1,,
2/01/2024 8:30,0.1,,
2/01/2024 8:45,0.14,,
2/01/2024 9:00,1.36,,
2/01/2024 9:15,4.79,,
2/01/2024 9:30,8.99,,
2/01/2024 9:45,10.71,,
2/01/2024 10:00,19.07,,
2/01/2024 10:15,26.11,,
2/01/2024 10:30,23.5,,
2/01/2024 10:45,20.91,,
2/01/2024 11:00,17.45,,
2/01/2024 11:15,16.85,,
2/01/2024 11:30,18.67,,
2/01/2024 11:45,20.04,,
2/01/2024 12:00,20.34,,
2/01/2024 12:15,23.53,,
2/01/2024 12:30,24.22,,
2/01/2024 12:45,22.4,,
2/01/2024 13:00,28.05,,
2/01/2024 13:15,36.16,,
2/01/2024 13:30,27.09,,
2/01/2024 13:45,38.27,,
2/01/2024 14:00,35.8,,
2/01/2024 14:15,34.86,,
2/01/2024 14:30,43.56,,
2/01/2024 14:45,25.94,,
2/01/2024 15:00,13.12,,
2/01/2024 15:15,8.3,,
2/01/2024 15:30,9.74,,
2/01/2024 15:45,8.21,,
2/01/2024 16:00,6.79,,
2/01/2024 16:15,1.47,,
2/01/2024 16:30,0,,
2/01/2024 16:45,0.05,,
2/01/2024 17:00,0.07,,
2/01/2024 17:15,0.07,,
2/01/2024 17:30,0.09,,
2/01/2024 17:45,0.09,,
2/01/2024 18:00,0.11,,
2/01/2024 18:15,0.09,,
2/01/2024 18:30,0.09,,
2/01/2024 18:45,0.09,,
2/01/2024 19:00,0.08,,
2/01/2024 19:15,0.09,,
2/01/2024 19:30,0.08,,
2/01/2024 19:45,0.09,,
2/01/2024 20:00,0.1,,
2/01/2024 20:15,0.09,,
2/01/2024 20:30,0.09,,
2/01/2024 20:45,0.09,,
2/01/2024 21:00,0.08,,
2/01/2024 21:15,0.09,,
2/01/2024 21:30,0.07,,
2/01/2024 21:45,0.1,,
2/01/2024 22:00,0.09,,
2/01/2024 22:15,0.09,,
2/01/2024 22:30,0.11,,
2/01/2024 22:45,0.08,,
2/01/2024 23:00,0.07,,
2/01/2024 23:15,0.11,,
2/01/2024 23:30,0.1,,
2/01/2024 23:45,0.08,,
3/01/2024 0:00,0.11,,
3/01/2024 0:15,0.11,,
3/01/2024 0:30,0.07,,
3/01/2024 0:45,0.09,,
3/01/2024 1:00,0.06,,
3/01/2024 1:15,0.09,,
3/01/2024 1:30,0.09,,
3/01/2024 1:45,0.09,,
3/01/2024 2:00,0.09,,
3/01/2024 2:15,0.1,,
3/01/2024 2:30,0.1,,
3/01/2024 2:45,0.07,,
3/01/2024 3:00,0.1,,
3/01/2024 3:15,0.1,,
3/01/2024 3:30,0.08,,
3/01/2024 3:45,0.11,,
3/01/2024 4:00,0.09,,
3/01/2024 4:15,0.1,,
3/01/2024 4:30,0.08,,
3/01/2024 4:45,0.1,,
3/01/2024 5:00,0.11,,
3/01/2024 5:15,0.09,,
3/01/2024 5:30,0.09,,
3/01/2024 5:45,0.09,,
3/01/2024 6:00,0.1,,
3/01/2024 6:15,0.11,,
3/01/2024 6:30,0.09,,
3/01/2024 6:45,0.08,,
3/01/2024 7:00,0.1,,
3/01/2024 7:15,0.09,,
3/01/2024 7:30,0.1,,
3/01/2024 7:45,0.09,,
3/01/2024 8:00,0.12,,
3/01/2024 8:15,0.11,,
3/01/2024 8:30,0.36,,
3/01/2024 8:45,2.11,,
3/01/2024 9:00,4.25,,
3/01/2024 9:15,6.83,,
3/01/2024 9:30,15.14,,
3/01/2024 9:45,17.88,,
3/01/2024 10:00,22.59,,
3/01/2024 10:15,29.03,,
3/01/2024 10:30,41.86,,
3/01/2024 10:45,49.59,,
3/01/2024 11:00,45.13,,
3/01/2024 11:15,49.49,,
3/01/2024 11:30,58.08,,
3/01/2024 11:45,72.86,,
3/01/2024 12:00,80.09,,
3/01/2024 12:15,77.06,,
3/01/2024 12:30,93.86,,
3/01/2024 12:45,99.05,,
3/01/2024 13:00,99.19,,
3/01/2024 13:15,75.1,,
3/01/2024 13:30,51.15,,
3/01/2024 13:45,46.15,,
3/01/2024 14:00,52.84,,
3/01/2024 14:15,44.6,,
3/01/2024 14:30,42.5,,
3/01/2024 14:45,33.14,,
3/01/2024 15:00,22.27,,
3/01/2024 15:15,18.49,,
3/01/2024 15:30,14.99,,
3/01/2024 15:45,10.09,,
3/01/2024 16:00,4.44,,
3/01/2024 16:15,0.53,,
3/01/2024 16:30,0,,
3/01/2024 16:45,0,,
3/01/2024 17:00,0,,
3/01/2024 17:15,0,,
3/01/2024 17:30,0.02,,
3/01/2024 17:45,0.06,,
3/01/2024 18:00,0.09,,
3/01/2024 18:15,0.07,,
3/01/2024 18:30,0.08,,
3/01/2024 18:45,0.09,,
3/01/2024 19:00,0.09,,
3/01/2024 19:15,0.09,,
3/01/2024 19:30,0.08,,
3/01/2024 19:45,0.09,,
3/01/2024 20:00,0.08,,
3/01/2024 20:15,0.09,,
3/01/2024 20:30,0.1,,
3/01/2024 20:45,0.07,,
3/01/2024 21:00,0.1,,
3/01/2024 21:15,0.09,,
3/01/2024 21:30,0.08,,
3/01/2024 21:45,0.11,,
3/01/2024 22:00,0.07,,
3/01/2024 22:15,0.09,,
3/01/2024 22:30,0.07,,
3/01/2024 22:45,0.1,,
3/01/2024 23:00,0.09,,
3/01/2024 23:15,0.1,,
3/01/2024 23:30,0.08,,
3/01/2024 23:45,0.09,,
4/01/2024 0:00,0.08,,
4/01/2024 0:15,0.09,,
4/01/2024 0:30,0.07,,
4/01/2024 0:45,0.09,,
4/01/2024 1:00,0.08,,
4/01/2024 1:15,0.09,,
4/01/2024 1:30,0.08,,
4/01/2024 1:45,0.09,,
4/01/2024 2:00,0.09,,
4/01/2024 2:15,0.09,,
4/01/2024 2:30,0.08,,
4/01/2024 2:45,0.07,,
4/01/2024 3:00,0.09,,
4/01/2024 3:15,0.07,,
4/01/2024 3:30,0.1,,
4/01/2024 3:45,0.07,,
4/01/2024 4:00,0.07,,
4/01/2024 4:15,0.07,,
4/01/2024 4:30,0.08,,
4/01/2024 4:45,0.09,,
4/01/2024 5:00,0.07,,
4/01/2024 5:15,0.09,,
4/01/2024 5:30,0.08,,
4/01/2024 5:45,0.09,,
4/01/2024 6:00,0.1,,
4/01/2024 6:15,0.07,,
4/01/2024 6:30,0.09,,
4/01/2024 6:45,0.07,,
4/01/2024 7:00,0.09,,
