date,solargen
1/04/2023 0:00,0.02
1/04/2023 0:15,0
1/04/2023 0:30,0
1/04/2023 0:45,0
1/04/2023 1:00,0.02
1/04/2023 1:15,0
1/04/2023 1:30,0
1/04/2023 1:45,0.03
1/04/2023 2:00,0
1/04/2023 2:15,0
1/04/2023 2:30,0.02
1/04/2023 2:45,0
1/04/2023 3:00,0
1/04/2023 3:15,0.02
1/04/2023 3:30,0
1/04/2023 3:45,0
1/04/2023 4:00,0.02
1/04/2023 4:15,0
1/04/2023 4:30,0
1/04/2023 4:45,0
1/04/2023 5:00,0.01
1/04/2023 5:15,0
1/04/2023 5:30,0
1/04/2023 5:45,0
1/04/2023 6:00,0.02
1/04/2023 6:15,0
1/04/2023 6:30,0
1/04/2023 6:45,0.01
1/04/2023 7:00,0.15
1/04/2023 7:15,1.48
1/04/2023 7:30,4.68
1/04/2023 7:45,8.7
1/04/2023 8:00,11.46
1/04/2023 8:15,12.1
1/04/2023 8:30,14.39
1/04/2023 8:45,16.69
1/04/2023 9:00,20.28
1/04/2023 9:15,23.35
1/04/2023 9:30,27.72
1/04/2023 9:45,28.61
1/04/2023 10:00,34.13
1/04/2023 10:15,38.31
1/04/2023 10:30,42.11
1/04/2023 10:45,46.6
1/04/2023 11:00,50.3
1/04/2023 11:15,49.37
1/04/2023 11:30,62.49
1/04/2023 11:45,63.95
1/04/2023 12:00,60.57
1/04/2023 12:15,73.84
1/04/2023 12:30,80.11
1/04/2023 12:45,74.14
1/04/2023 13:00,72.83
1/04/2023 13:15,65.45
1/04/2023 13:30,79.16
1/04/2023 13:45,64.44
1/04/2023 14:00,71.22
1/04/2023 14:15,75.08
1/04/2023 14:30,61
1/04/2023 14:45,73.13
1/04/2023 15:00,54.07
1/04/2023 15:15,60.67
1/04/2023 15:30,57.61
1/04/2023 15:45,56.58
1/04/2023 16:00,66.08
1/04/2023 16:15,47.48
1/04/2023 16:30,52.84
1/04/2023 16:45,68.4
1/04/2023 17:00,43.65
1/04/2023 17:15,53.42
1/04/2023 17:30,53.49
1/04/2023 17:45,29.28
1/04/2023 18:00,19.86
1/04/2023 18:15,17.31
1/04/2023 18:30,12.86
1/04/2023 18:45,10.64
1/04/2023 19:00,7.07
1/04/2023 19:15,4.81
1/04/2023 19:30,2.06
1/04/2023 19:45,0.44
1/04/2023 20:00,0.05
1/04/2023 20:15,0.05
1/04/2023 20:30,0.1
1/04/2023 20:45,0.02
1/04/2023 21:00,0.06
1/04/2023 21:15,0.07
1/04/2023 21:30,0.08
1/04/2023 21:45,0.06
1/04/2023 22:00,0.02
1/04/2023 22:15,0.07
1/04/2023 22:30,0.07
1/04/2023 22:45,0.07
1/04/2023 23:00,0.05
1/04/2023 23:15,0.06
1/04/2023 23:30,0.04
1/04/2023 23:45,0.06
2/04/2023 0:00,0.11
2/04/2023 0:15,0.07
2/04/2023 0:30,0.05
2/04/2023 0:45,0.06
2/04/2023 1:00,0.08
2/04/2023 1:15,0.07
2/04/2023 1:30,0.06
2/04/2023 1:45,0.09
2/04/2023 2:00,0.04
2/04/2023 2:15,0.08
2/04/2023 2:30,0.07
2/04/2023 2:45,0.08
2/04/2023 3:00,0.07
2/04/2023 3:15,0.06
2/04/2023 3:30,0.06
2/04/2023 3:45,0
2/04/2023 4:00,0.04
2/04/2023 4:15,0.04
2/04/2023 4:30,0.02
2/04/2023 4:45,0.03
2/04/2023 5:00,0.04
2/04/2023 5:15,0.04
2/04/2023 5:30,0.04
2/04/2023 5:45,0.03
2/04/2023 6:00,0.03
2/04/2023 6:15,0.06
2/04/2023 6:30,0.02
2/04/2023 6:45,0.04
2/04/2023 7:00,0.36
2/04/2023 7:15,1.95
2/04/2023 7:30,5.49
2/04/2023 7:45,10.71
2/04/2023 8:00,14.69
2/04/2023 8:15,20.63
2/04/2023 8:30,36.41
2/04/2023 8:45,40.93
2/04/2023 9:00,51.75
2/04/2023 9:15,52.58
2/04/2023 9:30,68.87
2/04/2023 9:45,61.15
2/04/2023 10:00,69.42
2/04/2023 10:15,73
2/04/2023 10:30,70.89
2/04/2023 10:45,66.62
2/04/2023 11:00,63.39
2/04/2023 11:15,66.95
2/04/2023 11:30,75.46
2/04/2023 11:45,83.12
2/04/2023 12:00,92.59
2/04/2023 12:15,90.05
2/04/2023 12:30,94.05
2/04/2023 12:45,78.18
2/04/2023 13:00,74.92
2/04/2023 13:15,70.31
2/04/2023 13:30,68.19
2/04/2023 13:45,66.21
2/04/2023 14:00,62.81
2/04/2023 14:15,71.15
2/04/2023 14:30,61.87
2/04/2023 14:45,55.8
2/04/2023 15:00,59.56
2/04/2023 15:15,66.16
2/04/2023 15:30,82.07
2/04/2023 15:45,67.16
2/04/2023 16:00,63.16
2/04/2023 16:15,72.33
2/04/2023 16:30,64.51
